,E,N
0,999_999_999_999_1000_999_997_999,1
1,999_998,1
2,999_1000,1
3,999,1
4,998,1
5,997_996,4
6,997,1
7,994_993,1
8,993_990_991_992,1
9,992_991,3
10,991,1
11,990,3
12,989,1
13,987_987_986,1
14,987_987_985_986,1
15,987_986,1
16,987,1
17,986_985,2
18,986,2
19,985_986,1
20,984_984_983,1
21,984_984,1
22,984_983,1
23,982,1
24,981_982,1
25,981_980,1
26,980_979_978,1
27,980,1
28,979_979_980_979_978,1
29,979,1
30,978_979,1
31,977_977_976,1
32,977_976,2
33,977,1
34,975_974,1
35,974_975,1
36,974_974_974_975,1
37,974_974_974_974_974_974_975_974,1
38,973_972,1
39,973,3
40,970_969,1
41,96_96_96_97,1
42,968_968_967,2
43,968,1
44,967_968,1
45,967_967_968,1
46,967_967_967_967_968,1
47,967_967_967_967_967_968,1
48,966_965,4
49,966,4
50,965_966,1
51,965,2
52,963,3
53,962_963,4
54,962,1
55,961_961_961_960,1
56,961_960,1
57,961,1
58,960_959,1
59,958_958_958_958_958_956_958_957,1
60,958_958_957,1
61,958_957,3
62,958,1
63,957_958,1
64,957_956,2
65,957,1
66,956,1
67,955_954,2
68,955,3
69,954,1
70,953_952,3
71,953,3
72,952_953,1
73,952,1
74,951_951_950_949,1
75,951_951,1
76,951_950_949,1
77,951_950,1
78,951,2
79,950_950_949_949_67_949_69,1
80,949_949_950_950_951_951_951,1
81,949_68_68_68_67_67_950_951_951_950_949,1
82,949,2
83,948_948_947,1
84,948,4
85,947_947_946_948_948_945_947_947_945_948_947_947_946_948_947_947_947_948_947_948,1
86,946_945,1
87,944_944_943,1
88,944_943,1
89,944,6
90,943_944,1
91,943,1
92,940_941_940_941_943_941_940_942_944_943_944_943_942_941_943_940,1
93,940_940_940_942_941_942_943_944,1
94,940_940_940_942_940_941,1
95,93_92,2
96,939_938_938_938_938_937_936_938_938_935,1
97,939,1
98,938_937_937_938_935,1
99,937,2
100,936_937_938_935,1
101,936,2
102,935,3
103,934,1
104,933_934_933_932,1
105,933_933_932,1
106,933_932,3
107,933,2
108,930_930_930_930_931,1
109,929,2
110,928,1
111,927,5
112,926_927,2
113,926_925,3
114,926_924_926_926_926_923_924_924_925,1
115,926,2
116,925_924,2
117,925,2
118,924_923,1
119,924,2
120,923_926_926_924_926_926_925,1
121,923_922,1
122,923,1
123,922_923,1
124,922_922_922_923,1
125,922_922_921,1
126,922_921,2
127,922,1
128,920_919,1
129,92,3
130,91_92,1
131,915_914,2
132,915_913_915_913_913_913_915_915_913_915_914,1
133,915,1
134,914,1
135,910_909,1
136,90_90_91,1
137,90_90_90_90_90_91,1
138,90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90_90,1
139,908_908_908_908_908_907,1
140,908_908_908_907,1
141,908_907,2
142,902_901,1
143,899_898,3
144,898_897,1
145,896,4
146,895_895_895_895_895_895_895_894,1
147,895_895_895_895_895_894,1
148,895_895_895_894,1
149,895_895_894_893,1
150,895,1
151,894_893,1
152,893,5
153,892_891,1
154,892,2
155,891_892,2
156,891_891_892,1
157,891_890,1
158,891,3
159,890_892_890_891,1
160,890_889,1
161,890,2
162,89,1
163,88_87,3
164,889_889_888,1
165,889_888,3
166,889,4
167,888,1
168,887_885_887_885_884_883,1
169,887,1
170,886_884_887_887_887_886_886_887_884_887_886_885_884,1
171,886,1
172,884_884_884_886_886_887_887_884_887_887_887_887_885_886_884_887_886,1
173,883,6
174,88,3
175,87_88,1
176,878_878_877,1
177,878_877,3
178,878,2
179,875_874,1
180,874_873_873_873_873_873_873_873_873_875_872_872_872_872_872_872_872_872_872_872_875_875_875_874_875_874_872_872_872_873_874_874_872_871,1
181,874,1
