,F,N
0,151,1
1,126,1
2,117,1
3,104,1
4,100,1
5,81,1
6,77,2
7,73,1
8,71,1
9,70,1
10,65,1
11,64,1
12,62,1
13,57,2
14,56,1
15,54,1
16,53,1
17,51,1
18,50,1
19,48,1
20,47,1
21,46,3
22,45,2
23,42,3
24,41,3
25,37,2
26,35,1
27,34,1
28,33,3
29,32,4
30,31,1
31,30,2
32,29,2
33,28,4
34,27,5
35,26,2
36,25,7
37,24,5
38,23,4
39,22,1
40,21,8
41,20,6
42,19,4
43,18,7
44,17,4
45,16,13
46,15,15
47,14,13
48,13,18
49,12,21
50,11,23
51,10,29
52,9,49
53,8,59
54,7,66
55,6,96
56,5,141
57,4,234
58,3,367
59,2,965
60,1,4123
