,T,N
0,151,2
1,138,1
2,131,1
3,124,1
4,89,1
5,79,2
6,78,1
7,76,1
8,75,2
9,74,2
10,73,1
11,72,1
12,65,2
13,63,1
14,61,1
15,60,1
16,59,2
17,56,3
18,55,2
19,54,2
20,53,2
21,51,3
22,50,3
23,49,3
24,48,3
25,47,4
26,46,4
27,45,6
28,44,4
29,43,2
30,41,7
31,40,4
32,39,4
33,38,9
34,37,6
35,36,4
36,35,4
37,34,7
38,33,11
39,32,9
40,31,8
41,30,12
42,29,12
43,28,10
44,27,16
45,26,14
46,25,14
47,24,10
48,23,23
49,22,15
50,21,19
51,20,16
52,19,19
53,18,35
54,17,24
55,16,43
56,15,56
57,14,52
58,13,56
59,12,63
60,11,80
61,10,83
62,9,122
63,8,184
64,7,235
65,6,353
66,5,541
67,4,855
68,3,1679
69,2,4643
70,1,21229
