,E,N
0,999,1
1,998,1
2,996_995_988,1
3,996_995,2
4,996_994_994_994_993,1
5,996_993,1
6,996_1027_996_1027_988_992_992_990_991_991_989_996_996_1027_1027_995_995,1
7,996,3
8,995_996_994_993,1
9,995_995_995_995_995_995_995_995_995_995_988,1
10,995_995_995_988,1
11,995_995_988,1
12,995_988,24
13,995,15
14,994_994_994_994_994_994_994_994_994_994_993,1
15,994_994_994_994_994_994_994_994_994_993,1
16,994_994_994_994_994_993,1
17,994_994_994_994_993,1
18,994_994_994_993,1
19,994_994_993_996,1
20,994_994_993,3
21,994_993,5
22,994,1
23,992_991_992_992_991_990,1
24,992_991,1
25,992,5
26,991_990,2
27,991,2
28,989,3
29,988,3
30,987_887,1
31,987,3
32,986,1
33,985_985_924,1
34,985_924,3
35,985_916_795,1
36,985_777,1
37,985_1264_795_916,1
38,985,14
39,984_837_984_837_837_980_980_837_837_984_837_837_980_837_980_837_837_984_984_837_984_837_980_980_837_980,1
40,984_837,1
41,984,12
42,983_956,1
43,983,4
44,982_983_956,1
45,982_982_956_957,1
46,982_956,6
47,981,2
48,980_837_836,1
49,980_836,5
50,980,19
51,97_97_97_97_97_97_97_97_97_97_118,1
52,97_97_97_97_97_118_118_119_119_97_119_119_119_118_119_119_119_119_119_119_33_119_33_119_33_119_33_31_32_32_32_32_119_33_33_119_119_32_32_32_32_32_32_32_32_32_32_32_32_32_32_32_32_32_32_184_138_138_184_138_184_137_184_184_184_138_138_184_138_183_183_184_184_138_31_32_32_32_32_32_138_31_33_33_33_33_33_33_33_33_33_33_33_33_33_99,1
53,97_97_97_65_65_167_166_166_167_167_65_65_57_58_168_57_58_58_167_166_166_58_168_57_57_57_57_57_104_105_105_104_104_57_105_104_168_168_57_58_64_64_57_57_168_57_57_57_57_57_168_57_57_57_57_104_168_168_57_59_167_118_65_97_65_65_65_65_97_118_97_65_64_167_167_64_64_166_64_167_167_167_167_167_64_167_166_65_166_166_64_64_56_56_56_56_56_56_57_168_58_65_64_65_168_168_57_59_167_167_65_59_59_64_65_97_65_65_97_97_97_117,1
54,97_97_96,1
55,97_97_118,1
56,97_96,5
57,97_1288,1
58,97_118,1
59,979_979_978,1
60,979_978,3
61,979,16
62,978_979,1
63,978_978_977,1
64,978_977,6
65,978,6
66,977,1
67,976_975_857,1
68,976_975,2
69,976,3
70,975_857,3
71,975,3
72,974_814,2
73,974,2
74,973_814_808_807,1
75,972_973,1
76,971_971_971_778_971_971_971_806,1
77,971_806,3
78,971,2
79,970_970,1
80,970_969,2
81,970,5
82,97,2
83,969_970_969_968,1
84,969_969_968,1
85,969_968,4
86,969_967_968,1
87,969,5
88,968_969,1
89,968_968_967,1
90,968_967,9
91,968,10
92,967,1
93,966_965,8
94,966,5
95,965_966,1
96,965,1
97,964_964_844,5
98,964_964_843_844,1
99,964_964_1263_845_1263_845_964_843,1
100,964_844,11
101,964,5
102,963_957_956,1
103,963_957,5
104,963,7
105,962_961,6
106,962_908,6
107,962_834_908,3
108,962_1385_961,1
109,962,15
110,961_962,1
111,961_908_962,1
112,961,4
113,960_923,1
114,960,3
115,96,4
116,95_95_95_11,1
117,95_95_11,1
118,95_11,1
119,959_830,1
120,959,4
121,958_957_956,1
122,958_957,3
123,958_956_957,1
124,958,8
125,957_963,1
126,957_958,1
127,957_956_939,1
128,957_956,4
129,957,9
130,956_957,1
131,956_939,5
132,956,2
133,955_954,3
134,955,3
135,954_931,1
136,954_818,1
137,954,3
138,953_953_816_815,1
139,953_817_816,1
140,953_817_815_816_815,1
141,953_816,1
142,953_815_815_815_816,1
143,953,5
144,952_860,4
145,952,7
146,951_947,2
147,951,7
148,950_947,2
149,950,10
150,94_93,1
151,94_40,1
152,949_949_949_946,1
153,949_949_946,2
154,949_946_947,1
155,949_946,5
156,949,17
157,948_813,3
158,948,5
159,947_951,1
160,947_947_951,1
161,947_947_947_951,1
162,947_946,2
163,947,5
164,946_949_949_946_949,1
165,946_949,5
166,946_946_949,2
167,946_946_946_946_946_949,1
168,946,2
169,945_941_761,2
170,945_941,3
171,945_761_941,1
172,945_761,1
173,945,9
174,944_943_942_941,1
175,944,2
176,943_943_943_942,1
177,943_943_942,4
178,943_942,8
179,943,4
180,942_942_941,1
181,942_941_761,1
182,942_941,2
183,942,4
184,941_941,1
185,941_761,7
186,941,8
187,940_940_940_939,1
188,940_940_939,1
189,940_939,4
190,940,3
191,94,1
192,939,1
193,938_938_938_937,1
194,938_938_937,1
195,938_938_911_938_938_937,1
196,938_937_1387,1
197,938_937,7
198,938,3
199,937_1387_938,1
200,937,3
201,936,1
202,935,1
203,933_933_933_933_933_774_775,1
204,933_933_933_774,1
205,933_933_774,3
206,933_775_933_774,1
207,933_775_775_774,1
208,933_775_774,3
209,933_774,12
210,933,6
211,932_775,4
212,932_774_932_932_932_932_775_225,1
213,932_225_775,1
214,932,1
215,931_817,2
216,931,6
217,930_864_863,1
218,930_863,1
219,930,9
220,93,2
221,92_92_93,1
222,92_92_92_92_93,1
223,92_91,3
224,92_51_162,1
225,92_51,1
226,929_928,1
227,929,6
228,928_928_927,1
229,928_927,4
230,928,4
231,927,1
232,926_803,1
233,926,1
234,925,1
235,924_985,1
236,924_924_923,1
237,924_923,3
238,924,2
239,922_922_922_925_925_924_923_960_924_923_960_925,1
240,921_920,1
241,920_903,1
242,920,3
243,92,6
244,919_903,1
245,919_784_903,1
246,919,4
247,918_918_918_918_918_1355,1
248,918_918_918_1356_918_1355,1
249,918_918_918_1355,2
250,918_918_1355,2
251,918_917,1
252,918_1355,4
253,918,7
254,917_761_917_917_917_917_917_917_918_917_1381_1381_917_759_917_917_1381_917_917_917_917_917_761_918_917_917_917_917_761_917_917_759_759_917_917_917_759_917_917_917_917_917_917_760_1381_1381_1381_970_970_759_941_941_761_761,1
255,917_761_760,1
256,916_985_777,1
257,916_916_985,2
258,916_916_916_916_916_795_794,1
259,916_916_916_916_795,1
260,916_916_916_795,1
261,916_916_795,2
262,916_916_794_795_1264,1
263,916_916_777_924_916_777_916_916_916_777_985,1
264,916_916_1264_916_916_916_916_916_916_916_916_916_916_1264_1264_916_794_916_916_916_916_916_795,1
265,916_852,5
266,916_795_794,1
267,916_795,5
268,916_1264_916_794_916_916_916_916_795,1
269,916,5
270,915_914,2
271,915_899_898,1
272,915_899,1
273,915,3
274,914_915_899,1
275,914,2
276,913_841,1
277,913,3
278,912_911,2
279,912,4
280,911_912,1
281,911,1
282,910,1
283,91,3
284,90_3,2
285,908_962,1
286,908_835_834_833,1
287,908,11
288,906_905,3
289,906,3
290,905_856_856_856_854_854_856_856_856_855,1
291,905_855,3
292,905,4
293,904_903,3
294,904,3
295,903_919,1
296,903_784,6
297,903,8
298,902_902_902_899,1
299,902_902_901,1
300,902_902_899,1
301,902_901,2
302,902_899,3
303,902_898_899,1
304,902,1
305,901_901_902,1
306,901_901_901_901_902_902_901_901_915_899_902_901_914_914_915_915_902_1130_1129_898,1
307,900_820,3
308,900,10
309,90,1
310,9,1
311,899_898_1129,1
312,899_898,2
313,898_900,1
314,898,2
315,897_896,4
316,897,1
317,895_895_895_894,1
318,895_895_894,2
319,895_894,2
320,895,1
321,894_249,1
322,893_786,1
323,893,3
324,891_823_765_764_764_218_218_823_885_910_1298_823_891_1298_886_218_218_823_823_885_885_910_910_909_892_892_831_892_891_910_910_784_784_785_786_786_831_786_893_832_832_1299_1299_829_830_829_831_830_831_783_783_784_919_1332_921_921_1329_1330_1330_1331_1331_1332_903_1330_1331_1332_921_921_920_920_903_903_784_785_785_786_786_832_787_832_787_893_785_783_783_920_1331_1332_1332_1332_921_1329_1330_1330_1331_1331_1332_920_903_832_788_832_787_892_1299_1299_832_829_830_829,1
325,89,2
326,88_87_88,1
327,88_87_86,1
328,88_87,2
329,88_131,1
330,889,2
331,888_828,3
332,888,1
333,887,1
334,886_885,1
335,886,7
336,885_886,3
337,885_885_909,1
338,884_882_1196_882_883,1
339,883,12
340,882_883,2
341,882_882_883,1
342,882_882_882_883,2
343,882_882_882_882_882_882_882_883,1
344,882_882_882_882_882_882_882_882_882_1137_882_882_882_1195_882_882_1196,1
345,882_882_882_882_882_882_1196,1
346,882_882_882_1196_882,1
347,882_882_882_1196_1195_882_882_882_882_882_882_882_882_882_882_882_882_882_882_1206,1
348,882_882_881,2
349,882_882_1206,2
350,882_882_1196,1
351,882_881,3
352,882_1206,3
353,882_1196_882_881,1
354,882,1
355,881,13
356,880_880_880_1227,2
357,880_880_1227,1
358,880_1227,4
359,880_1204_20,1
360,880_1194_1227,1
361,880,11
362,88,14
363,87_88_87,1
364,87_88,5
365,87_87_88,2
366,87_87_87_87_88,1
367,87_87_87_86,2
368,87_87_86,1
369,87_86,7
370,879,13
371,878_879_878_1236,1
372,878_879,6
373,878_878_879,2
374,878_878_878_878_878_1236_878_1236_878_878_878_1236_1236_878_878_878_879,1
375,878_878_1236,1
376,878_877,5
377,878_1237_1236,1
378,878_1236_878_879,1
379,878_1236_878_877,1
380,878_1236_1236_878_878_878_878_878_878_878_878_878_878_1236_1236_878_879,1
381,878_1233_878_1236,1
382,878,3
383,877_877_876,1
384,877_876,4
385,877_1191_1191_1175,1
386,877,8
387,876,1
388,875_870,2
389,875_1266_975,1
390,875_1266,2
391,875,3
392,874_874_857_857_858,1
393,874,6
394,873_873_842_873_781_780,1
395,873_873_781,1
396,873_781,1
397,873,7
398,872_846,1
399,871_870_859_858,1
400,871,9
401,870_875_870_859,1
402,870_871,1
403,870_870_871,1
404,870_870_870_870_870_870_870_875_870_870_871,1
405,870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_870_875_870_870_859,1
406,870_870_870_870_870_870_870_859,1
407,870_870_870_870_870_859,1
408,870_870_870_870_870_854_853_870_859,1
409,870_870_870_859,1
410,870_870_870_858_870_870_870_871_870_870_858_1266_875,1
411,870_870_859_870_871,1
412,870_870_859,2
413,870_870_854_859_854_854_870_859_859_854_853_875_870_853,1
414,870_859_854_853,1
415,870_859,10
416,870_856,1
417,870_855_856,1
418,87,1
419,86_85,1
420,869_952_860_860_854_853,1
421,869_869_869_869_869_869_1360,1
422,869_869_869_869_869_1360,1
423,869_869_869_869_1360,1
424,869_869_869_1360,2
425,869_869_853_869_869_1360,1
426,869_869_1360,1
427,869_868_869_1360,1
428,869,6
429,868_867,1
430,868,2
431,867_913_868,1
432,867_867_867_867_867_867_867_867_868_867_866,1
433,867_867_867_867_867_867_867_867_867_867_867_867_867_867_867_867_865_867_865_867_865_862_862_865_864_865_865_864_864_863_862_862_862_864_865_866,1
434,867_867_867_866,1
435,867,5
436,866,7
437,865_865_864_865_865_865_865_864_864_865_862_862_865_862_864_862_865_865_864_862_862_864_862_865_865_864_862_862_865_865_864_862_862_862_865_865_862_862_864_862_865_865_930_930_862_862_930_865_866,1
438,865_864,2
439,865,3
440,864_865,1
441,864_862_930_862_862_865_865_864_862_862_862_862_865_865_864_865_862_862_862_865_864_863_865_864_862,1
442,864_862_865_865_865_865_865_865_865_862_930_862_865_865_865_864_862_862_863_862_862_862_862,1
443,864_862_864_863,1
444,863,2
445,862_930_862_863,1
446,862_930_862_862_930_862_862_862_862_862_862_862_862_865_862_862_862_865_865_862_862_862_862_862_862_863_865_865_864_862_865_862_930_930_862_862_862_864,1
447,862_862_865_864_862_862_862_865_865_866_865_866_865_864_864_862_862_864_862_862_865_862_862_862_862_862_862_862_862_865_865_864_865_865_930_862_862_862_862_864_862_864_865_865_865_864_862_930_862_862_862_865_865_864_862_862_862_862_865_865_864_862_862_863_862_862_862_864_865_865_780_780_780_782_782_781_781_782_782_867_867_865_867_867_867_867_867_865_867_781_782_782_867_866_867_865_930_862,1
448,861_860,1
449,861,6
450,860_952,1
451,860,4
452,86,5
453,85_84,1
454,85_25_85_84_24,1
455,859_870_859_853,1
456,859_854_853_869_1360,1
457,859_854_853,1
458,859,2
459,858_975_857_257,1
460,858_858_858_858_858_874_858_858_858_858_858_857,1
461,858_857,3
462,856_856_856_855,1
463,856_856_855,4
464,856_855,4
465,856,11
466,855_905,1
467,855_856,2
468,855_855_854_854_854_856_870_856_855_856,1
469,855_855,1
470,855_854,1
471,855,7
472,854_870_859_854_854_854_853,1
473,854_860,1
474,854_854_856_855_855,1
475,854_854_853,1
476,854_853,3
477,854,12
478,853_869_1360,1
479,853,7
480,852_916,1
481,852,8
482,851_851_771,1
483,851_791_851_771,1
484,851_791_791_791_851_849_849_791_771,1
485,851_773,3
486,851_772_851_772_772,1
487,851_771,4
488,851,6
489,850_850_849,1
490,85,4
491,849_848,8
492,849_791_847_790_789,1
493,849_791,5
494,849,5
495,848_847_846,1
