,E,N
0,9_8,1
1,998_997,1
2,998_1028,2
3,998,2
4,996_995_995_995_1037_1027_1027_995_989_995_988_995,1
5,996,13
6,995_995_995_996_988,1
7,995_995_995_988,1
8,995_995_988_998_998_1028_1027,1
9,995_995_988_995,1
10,995_995_988_1027,1
11,995_995_988,4
12,995_988_995_988,1
13,995_988,6
14,995_1027_995_1027_995_988,1
15,995_1027_1028_995_995_995_995_988_1027_988,1
16,995,4
17,994_996_996_994_994_994_994_994_994_993_994,1
18,994_994_994_994_996_994_994_993,1
19,994_994_994_994_994_994_994_994_996_994_994_994_993,1
20,994_994_994_994_994_994_994_994_988_988_995_995_996_995_996_994_993_994_996,1
21,994_994_993,3
22,994_993,11
23,994,5
24,993_996_996_988_1027_995_988,1
25,993,1
26,992_992_991,2
27,992_991,7
28,992_1023,1
29,992,11
30,991_990,1
31,991,4
32,990_989,1
33,990,1
34,99,7
35,989,1
36,988_995_996,1
37,988_995_995_988_995,1
38,988_988_1027_995_988,1
39,988,3
40,987_987_887,1
41,987_887,7
42,987,13
43,986_827,4
44,986_766_765_827,1
45,986,1
46,985_916,1
47,985_852_852_916_985_777,1
48,985_777,1
49,985,19
50,984_984_836_836_836_837_838,1
51,984_838_838_837_984_984_837_980_984_837_980_980_980_980_984_837_984_984_984_980_980_984_837_836_984_838_838_984_980_984_837_980_838_838,1
52,984_837,1
53,984_836_984_836_836_984_984_836_980_836_836_980_980_836_837_984_838,1
54,984,9
55,983_983_983_982_956,1
56,983_982_956_956_983_983_982,1
57,983_982_956,1
58,983_963_958_957_957_982_983_982_982_983_982_956_939,1
59,983_956_939,1
60,983_956,6
61,983,11
62,982_983_957_982_982_956_939,1
63,982_983,1
64,982_982_956_939,1
65,982_982_956,1
66,982_956_983,1
67,982_956,7
68,982_810_809,1
69,982_810,1
70,982,3
71,981_981_981_981_981_981_907_802,1
72,981,7
73,980_836,3
74,980,17
75,98,6
76,97_97_97_1288,1
77,97_97_96,1
78,97_97,1
79,97_96,2
80,979_978_977,2
81,979_978,7
82,979,18
83,978_979,2
84,978_978_979,1
85,978_978_977_978_979_979_979_979_979_921,1
86,978_978_977,1
87,978_977_978_979,1
88,978_977,7
89,978,6
90,977,2
91,976_975,5
92,976_1266_1266_975,1
93,976,3
94,975_976,1
95,975_975_975_875_870_1311_1311_1147_975_975_975_975_870_870_858_858_975_975_858_858_1266_975_975_870_870_1266_1266_1311_870_870_859_858_858_859_870_870_875_1266_875_975_858_853_853_856_856_855_856_855_859_854_854_854_854_853_853_858_871_858_853_856_855_855_858_856_855_854_858_854_854_860_871_870_1311_976_870_860_860_926_861_926_926_856_855_858_871_875_1147_870_870_854,1
96,975_858_857,1
97,975_857,1
98,975_1266_875,1
99,975,8
100,974_974_948_813_813_973_814,1
101,974_814,4
102,974_808_814,1
103,974,12
104,973_972,6
105,973_814_808,1
106,973_814,5
107,973,3
108,972,1
109,971_806_779_778,1
110,971_806,8
111,971,8
112,970_970_970_970_970_970_970_1381,1
113,970_970_970_1381,1
114,970_970_1381,3
115,970_969,3
116,970_1381,1
117,970,3
118,97,4
119,96_97_118_117,1
120,969_968_967,1
121,969_968,2
122,969_967_968,1
123,969_967,1
124,969,14
125,968_969,1
126,968_967,9
127,968,11
128,967,2
129,966_966_965,3
130,966_965,10
131,966,3
132,964_964_964_964_795_1264_795_1264_1263_844_845_1263_1264_964_964_964_964_964_964_844_1263_845_845_964_844,1
133,964_964_844,2
134,964_845_845_844,1
135,964_844_843,1
136,964_844,5
137,964_843_848_848_843_964_964_844,1
138,964,9
139,963_958_958_957,1
140,963_957,3
141,963,7
142,962_962_962_962_961,1
143,962_962_834_834_962_834_834_834_908,1
144,962_961,7
145,962_908,2
146,962_834_962_834_961_961_962_834_834_834_961_834_908_834_834_961_1386_962_962,1
147,962_834_962_834_834_1385_961_961_962_962_834_834_834_908,1
148,962_834_908,1
149,962_834_834_834_908,1
150,962_1385_961_962_908,1
151,962,5
152,961_962_834_908,1
153,961_961_962_908,1
154,961_961_962,1
155,961_908_961_962,1
156,961,4
157,960_923,6
158,960,8
159,96,6
160,95_95_95_95_95_95_11,1
161,95_95_95_11,1
162,95_143_123,1
163,95_11,10
164,959_830,3
165,959,1
166,958_957_963,1
167,958_957,6
168,958_956_957,1
169,958,12
170,957_983_983_956,1
171,957_963,1
172,957_958,1
173,957_956,1
174,957,9
175,956_983,1
176,956_982_983_957_956_983_983_956_958_957_963,1
177,956_957,1
178,956_940_956_940_983_983_983_957_982_957_982_982_983_983_983_956_940_939_939_939_939_939_939_939_940,1
179,956_940_939,1
180,956_939,1
181,956,5
182,955_954_931,1
183,955_954,5
184,955,8
185,954_931,1
186,954_818,2
187,954,9
188,953_817_816_815_815_816,1
189,953_817_815_815_817_817_815_815_817_815_815_817_817_817_816,1
190,953_815_815_817_815_815_816_818_817,1
191,953,12
192,952_952_860_952,1
193,952_860_854,1
194,952_860,7
195,952,11
196,951_951_947,1
197,951_947_950,1
198,951_947,6
199,951,17
200,950_947,2
201,950_946_947,2
202,950,18
203,95,7
204,94_40,1
205,949_950_947_949,1
206,949_949_949_949_946,1
207,949_949_947_949_946,1
208,949_949_946,5
209,949_946_947,1
210,949_946,10
211,949,11
212,948_948_948_811_217_811_217_813_813_812_948_813_812_812,1
213,948_813,4
214,948,10
215,947_951_813,1
216,947_951,2
217,947_949_949_951_951_813_947_948_813_947_813_947_947_951_813_949_946_946_947_946,1
218,947_947_947_949_949_946_949_946,1
219,947_947_813,1
220,947_813,1
221,947,10
222,946_950_950_950_950_951_947_951,1
223,946_949_951,1
224,946_949,6
225,946_946_947_946_949,1
226,946,3
227,945_945_945_917_945_1356_1356_918_1356_918_759_941_941_761_942_761_941_761_945_945_945_917_917_917_759_918_917_758_917_917_945_945_761_941_941_761_918_918_918_917_917_759_917_917_918_917_1356_918_918_917_917_759_1355_918_1355_918_918_759_759_917_917_759_941_941_1355_1355_918_918_917_759_917_761_917_759_917_917_917_917_759_917_917_917_761_1381_917_941_761_917_1381_1381_917_917_942_945_970_970_918_918_918_1356_918_918_918_917_918_1355_1355_918_1356_918_917_918_917_917_917_941_941_762_762_917_758_759_918_1356_1356_1355_1356_918_917_917_759_759_917_917_917_917_918_917_759_918_918_918_918_917_761_941_941_762_762_762_945_945_762_941_762_763_762_941_941_761_759_918_918_917_759_945_1356_1356_918_945_917_761_761_759_758_759_917_917_917_941_761_941_761_762_761_761_758_1355_1355_1356_1356_1356_945_762_945_762_945_941_762_762_762_763_762_970_970_970_970_1381_968_969_969_970_968_969_969_969_917_917_941_761_918_941_941_945_761_945_941_941_945_759_1380_1380_969_970_759_760_918_918_761_759_970_941_941_761_759_941_761_918_759_761_759_761_759_761_945_759_761,1
228,945_941,1
229,945,10
230,944_943_942,1
231,944_942_945_941_761,1
232,944_942,3
233,944,4
234,943_943_942,1
235,943_942,6
236,943,5
237,942_944,1
238,942_943,2
239,942,6
240,941_945,2
241,941_941_761,2
242,941_941,1
243,941_761,1
244,941,3
245,940_983_982_982_983_956_983_957_940_939,1
246,940_956_940_939,1
247,940_956_939,2
248,940_940_940_940_940_940_940_940_939,1
249,940_940_939,2
250,940_939,8
251,940,12
252,94,2
253,93_100_83,1
254,939,8
255,938_938_938_937,1
256,938_938_938_911_938_938_938_937,1
257,938_938_1387_938_911_938_937_938,1
258,938_937,10
259,938,8
260,937_911,1
261,937_1387_1387_938_937_911,1
262,937_1386_912_911_912,1
263,937,4
264,936_936_789_789_791_847_849_851_772_791_851_791_772_772_791_791_851_794_851_849_790_790_849_796_796_796_773_773_850_848_849_850_849_849_849_851_849_849_849_790_790_849_849_791_794_851_771_935_789_789_847_790_791_851_794_772_851_848_849_791_851_851_849_790_789_789_789_790_790_789_789_789_934_934_789_934_934_934_789_934_935_936_789_790_790,1
265,936_935_789,1
266,936_790_789,1
267,936_789,2
268,936,6
