,E,N
0,99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_99_33,1
1,998_1045_997,1
2,998,1
3,996,3
4,995_995_995_988,2
5,995_988,3
6,995_1027_995_995_988,1
7,995,2
8,994_994_994_994_994_994_994_994_994_994_996_994_996_994_996_995_996_994_996_994_994_993_994,1
9,994,1
10,992_991,2
11,992,1
12,988_995,1
13,987_887,2
14,987,1
15,986_827,1
16,985_794_1264_794_852_916_794_795_916,1
17,985,3
18,984,4
19,983_982_983_956,1
20,983_956,1
21,983,4
22,982_982_956,1
23,982_956,1
24,982,2
25,981_907,2
26,981,3
27,980_980_984_984_836_984_984_838_980_980_980_980_984_980_980_838_984_984_836_836_984,1
28,980,1
29,979_978,1
30,979,2
31,978_977,1
32,978,3
33,976_976,1
34,976_975,1
35,976_857_1266_976_975,1
36,976,1
37,975_875_1266,1
38,975_857,1
39,975,1
40,974,2
41,973_973_972,2
42,973_972,1
43,973,1
44,971,2
45,97,1
46,969_968,2
47,969,2
48,968_968_968_967,1
49,968_967,4
50,966,3
51,964_964_844_843,1
52,964_964_843_844,1
53,964,4
54,963_957,2
55,963,1
56,962_908_962_961,1
57,962_908,2
58,962,1
59,961_962,1
60,961,1
61,960_923,1
62,95_11,4
63,959,1
64,958,3
65,957,6
66,956_983,1
67,956_956,1
68,956_940_939,2
69,956,1
70,955_954_931,1
71,955_954,1
72,955,1
73,954,2
74,953,1
75,952,5
76,951_951_947,1
77,951_947,1
78,951,3
79,950,5
80,95,1
81,949_946,3
82,949,5
83,948_813,2
84,948,1
85,947_813_947_951,1
86,947,4
87,946_949,2
88,946_947,1
89,946,4
90,945,5
91,943_942,3
92,943,2
93,941_941_761,1
94,941,1
95,940_940_982_956_983_939,1
96,940_939,2
97,940,1
98,94,1
99,939,1
100,938_938_938_938_938_938_938_938_1387_1387_937_938_911_938,1
101,938_937,1
102,938,2
103,936,3
104,935_936_790_789_789_790_789_789_789_789_789_935,1
105,935,1
106,933_775_775_774,1
107,933_774,2
108,933,1
109,932_933_933_933_774_775,1
110,932_933_774_933_775,1
111,932_775,1
112,931,1
113,930,3
114,93,1
115,929_928,1
116,928_927,1
117,928,2
118,926_861_802_801,1
119,926_856,1
120,926,2
121,925_924_923,1
122,925,2
123,924_923,1
124,924,1
125,920_903,2
126,920_784_904_903,1
127,920,3
128,92,4
129,919,1
130,918,1
131,917_941_761_941_762_941_761_917_917_918_918_917_917_918_917_759_941_943_942_942_945_941_941_941_762_761_917_759_1355_918_918_918_918_1356_1355_1355_918_917_917_758_759_758_759_918_917_761_917_945_945_941_942_941_761_761_970_970_1381_970_970_970_970_970_970_917_758_758_758_917_917,1
132,916_985_777,1
133,916_985,2
134,916_916_795_1264,1
135,916_852,2
136,916_777_985_852_1264_916_795_794_795,1
137,915_914,1
138,913,4
139,912_912_912_911,1
140,912_911,1
141,911_1386_961_962_961_961_961_962_834_908,1
142,910,1
143,91,1
144,90_38,1
145,908_834_835,1
146,908,2
147,907_907_981,1
148,907,5
149,906,1
150,905,1
151,904_903,2
152,904,2
153,903_784,2
154,903,2
155,902_899,3
156,902,3
157,900,3
158,90,2
159,899_898,1
160,899,1
161,898,1
162,897,2
163,895_894_895_894,1
164,894_895,1
165,894,1
166,893,2
167,892_891,1
168,891_831,1
169,89,1
170,887_886,1
171,886_886_886_885,1
172,886_885,2
173,886,2
174,885_886,1
175,885,1
176,884_884_1133,1
177,884,1
178,883,7
179,882,1
180,881,2
181,876,3
182,874,3
183,873_782_782_782_782_782_782_782_782_781_781_781_782_873_842,1
184,873,1
185,872_872_872_872_872_872_872_872_872_872_872_872_872_872_872_872_846,1
186,872_872_872_846,1
187,872_176,1
188,871,5
189,87,1
190,866,4
