,E,N
0,998,3
1,997,1
2,996,2
3,994_996_996_994_996_996_996_994_996_994_994,1
4,994_994_994_994_994_993,1
5,994_994_994_993,1
6,992_991,1
7,991_990,1
8,991,2
9,990_989,1
10,990,1
11,99,1
12,989,2
13,988_1028_998_998_1028_996_996_998_998_998_1028_998_998_998_998_1037_1037_1027_1028_1028_1028_995_1028_1027_1027_995_1037_1027_1027_1027_995_1028_1028_1028_995_998_1028_1027,1
14,987_887,3
15,987,7
16,986_986_827,1
17,986_827,3
18,986,1
19,985,1
20,984_984_984_984_984_984_172_980_984_980_984_171_171_172_171_171_171_171_172,1
21,983,3
22,982_983_983_956,1
23,982_957_982_983_983_956_939,1
24,982,1
25,981,3
26,98,3
27,979_978,1
28,979_977_978,2
29,979,9
30,978_978_977,1
31,978_977,1
32,978,4
33,977_978_979,1
34,977_978,1
35,977,1
36,976,4
37,974_974_814_973_972,1
38,974,6
39,973_974_814_814_808_808_215_807,1
40,973_973_973_972,1
41,973_973_972,1
42,973_972,2
43,973_814,1
44,973,1
45,972,1
46,971_806,1
47,971_779_779_778_806,1
48,971,5
49,970_1356_1356_1355_918_1356_1356_918_918_942_918_1355_918_1355_1356_1356_1355_1356_1356_970_1355_918_758_758_759_759_970_1355_918_945_970_945_1356_918_918_758_759_941_941_762_945_945_945_761_761_941_969_969_918_918_758_918_758_918_945_941_945_759_761_1355_1355_1356_1356_1356_761_970_1356_970,1
50,969_968,3
51,969,2
52,968_969,1
53,968_968_967,1
54,968_967,3
55,968,1
56,967,2
57,966_965,2
58,966,2
59,964_964_964_964_843_964_844_844_1264_777_985_916_916_985_916_852_852_794_852_916_1265_1265_777_1265_777_916_985_985_916_1263_916_916_795_852_916_795_1264_1264_964_964_848_843_843_964_843_848_964_844_1264_916_795_1264_1263_964_843_964_964_964_843_843_916_794_795_1264_794_916,1
60,964_844,1
61,963_957,1
62,963,4
63,962_1386_1386_1386_908_962_962_962_961_961_962,1
64,962_1385_961_962_834_962_835_834_1386_834_961_908,1
65,960_960_923,1
66,960_923,4
67,960,5
68,959_830,1
69,959,4
70,958_957_956,1
71,958_957,6
72,958,3
73,957,1
74,956_983_958_957_957,1
75,956_982,1
76,955_954_931,1
77,955,1
78,954_931,2
79,954_818,1
80,954,5
81,953,4
82,952_860,1
83,952,4
84,950,4
85,94_40,1
86,948_948_814_973,1
87,948,2
88,945,1
89,944,3
90,943_942,2
91,943,2
92,942,2
93,940_982_956_940_940_939,1
94,940_940_982_983_956_940_940_956_939_982_982_957_982_983_983_982_956_983_983_983_982_982_939_940_940,1
95,940_940,1
96,940_939,1
97,940,2
98,93_93_93_100_100_100_93_100_82_83,1
99,93_100_100_82_82_100_83,1
100,938_938_937,1
101,938_937_937_1387_938,1
102,938_937,1
103,938,1
104,937_912_911_938_937,1
105,936,6
106,935,3
107,933_933_775_775_775_774,1
108,933_775_774,1
109,933_774,1
110,933,5
111,932_932_932,1
112,932_775,1
113,932,3
114,931,3
115,93,4
116,92_91,1
117,92_125_125_125_125_125_125_125_162_125_91_51_162_92_91,1
118,929,5
119,928_928_927,1
120,928_927,5
121,928,2
122,927_928,2
123,926_926_801_801_802_907_907_805_1239_805_804_861_926_861_801_801_907_1267_926_926_1267_907_926_926_861_926_861_801_801_1267_804_861_802_803_802_861_926_801_802_805_805_803_804_802_1267_802_803_804_907_801_802_926_861_926_801_907,1
124,926,5
125,925_924,5
126,924_923,3
127,924,2
128,923_922,1
129,923,2
130,921_921_903,1
131,921_920,2
132,921,4
133,920_903,3
134,920,4
135,92,4
136,919_919_919,1
137,919,4
138,916_845_916_794_916_1264_777_795_916_777_916_985_916_985_852_1264,1
139,915_914,4
