,F,N
0,1531,1
1,372,1
2,349,1
3,313,1
4,252,1
5,239,1
6,238,1
7,227,1
8,225,1
9,211,1
10,196,1
11,193,1
12,182,1
13,170,1
14,161,1
15,158,1
16,157,1
17,149,1
18,138,1
19,135,1
20,130,1
21,127,1
22,121,1
23,111,1
24,108,2
25,106,1
26,105,1
27,102,1
28,101,1
29,97,1
30,90,2
31,89,1
32,84,1
33,82,1
34,79,1
35,77,1
36,74,1
37,73,2
38,70,1
39,67,1
40,66,3
41,65,1
42,64,1
43,63,2
44,61,1
45,60,1
46,58,2
47,57,2
48,55,1
49,50,1
50,47,1
51,46,4
52,44,2
53,43,2
54,42,3
55,41,1
56,40,3
57,39,2
58,38,3
59,37,5
60,36,3
61,34,3
62,33,3
63,32,5
64,31,5
65,30,7
66,29,6
67,28,5
68,27,4
69,26,5
70,25,4
71,24,9
72,23,10
73,22,10
74,21,8
75,20,11
76,19,9
77,18,13
78,17,15
79,16,13
80,15,21
81,14,16
82,13,29
83,12,27
84,11,34
85,10,56
86,9,51
87,8,69
88,7,105
89,6,160
90,5,215
91,4,375
92,3,705
93,2,1694
94,1,8353
