,F,N
0,38853,1
1,23355,1
2,17813,1
3,14572,1
4,3952,1
5,3788,1
6,3256,1
7,2895,1
8,2621,1
9,2608,1
10,1645,1
11,1019,1
12,889,1
13,661,1
14,497,1
15,492,1
16,473,1
17,448,1
18,386,1
19,379,1
20,377,1
21,368,1
22,350,1
23,334,1
24,320,1
25,297,1
26,293,1
27,289,1
28,285,1
29,270,1
30,264,1
31,256,1
32,251,1
33,241,1
34,240,1
35,224,1
36,222,1
37,221,1
38,209,1
39,183,1
40,176,1
41,171,1
42,160,1
43,150,1
44,142,1
45,137,1
46,136,1
47,130,1
48,124,1
49,116,1
50,115,2
51,114,1
52,112,1
53,111,1
54,104,1
55,103,1
56,101,1
57,100,1
58,97,3
59,96,1
60,95,1
61,94,2
62,93,1
63,92,2
64,88,1
65,84,1
66,83,1
67,79,1
68,77,2
69,76,4
70,73,2
71,72,1
72,71,2
73,70,1
74,66,2
75,64,2
76,63,1
77,62,1
78,61,1
79,58,1
80,57,1
81,55,4
82,54,2
83,53,1
84,52,1
85,51,2
86,50,3
87,48,2
88,46,2
89,45,3
90,44,2
91,43,4
92,42,2
93,41,5
94,40,3
95,39,6
96,38,1
97,37,4
98,36,4
99,35,6
100,34,1
101,33,6
102,32,8
103,31,2
104,30,12
105,29,9
106,28,3
107,27,8
108,26,9
109,25,6
110,24,9
111,23,13
112,22,9
113,21,20
114,20,14
115,19,21
116,18,20
117,17,29
118,16,23
119,15,28
120,14,33
121,13,45
122,12,55
123,11,69
124,10,75
125,9,81
126,8,103
127,7,165
128,6,227
129,5,384
130,4,548
131,3,1105
132,2,2577
133,1,8962
