,F,N
0,12391,1
1,9932,1
2,9823,1
3,4972,1
4,4153,1
5,2890,1
6,2784,1
7,2446,1
8,2232,1
9,1923,1
10,1702,1
11,1574,1
12,1558,1
13,1350,1
14,1104,1
15,1063,1
16,969,1
17,936,1
18,655,1
19,556,1
20,540,1
21,503,1
22,436,1
23,420,1
24,409,1
25,393,1
26,368,1
27,287,1
28,276,1
29,253,1
30,246,1
31,205,1
32,194,1
33,191,1
34,183,2
35,181,1
36,179,1
37,176,1
38,171,1
39,161,1
40,160,1
41,154,1
42,151,2
43,145,1
44,144,1
45,139,1
46,122,1
47,119,2
48,115,1
49,110,2
50,109,1
51,102,1
52,97,1
53,92,1
54,88,1
55,87,2
56,85,2
57,84,1
58,83,1
59,82,2
60,80,1
61,79,2
62,75,2
63,73,1
64,72,1
65,71,1
66,69,1
67,68,2
68,67,2
69,62,1
70,61,2
71,60,1
72,58,4
73,55,1
74,54,3
75,53,3
76,52,1
77,51,3
78,50,2
79,49,4
80,48,3
81,47,3
82,46,1
83,45,4
84,44,1
85,43,4
86,42,3
87,41,2
88,40,4
89,39,4
90,38,4
91,37,2
92,36,4
93,35,5
94,34,3
95,33,3
96,32,4
97,31,5
98,30,8
99,29,4
100,28,10
101,27,9
102,26,8
103,25,9
104,24,12
105,23,15
106,22,22
107,21,15
108,20,18
109,19,19
110,18,23
111,17,24
112,16,34
113,15,35
114,14,40
115,13,49
116,12,54
117,11,67
118,10,90
119,9,116
120,8,172
121,7,195
122,6,263
123,5,443
124,4,717
125,3,1244
126,2,3061
127,1,10972
