,F,N
0,4436,1
1,4217,1
2,3653,1
3,2611,1
4,2017,1
5,1410,1
6,1339,1
7,1052,1
8,967,1
9,648,1
10,574,1
11,547,1
12,393,1
13,386,1
14,380,1
15,366,1
16,299,1
17,271,1
18,260,1
19,251,1
20,235,1
21,229,1
22,224,1
23,183,1
24,166,1
25,155,2
26,152,1
27,145,1
28,142,1
29,131,2
30,117,1
31,114,1
32,113,1
33,107,1
34,95,1
35,94,1
36,90,2
37,85,1
38,80,1
39,72,1
40,69,1
41,68,1
42,57,2
43,54,1
44,53,1
45,51,1
46,50,1
47,49,1
48,48,1
49,45,3
50,44,1
51,42,1
52,41,1
53,40,2
54,36,1
55,35,4
56,31,6
57,30,1
58,29,1
59,26,3
60,25,2
61,24,4
62,23,5
63,22,1
64,21,3
65,20,2
66,19,6
67,18,3
68,17,4
69,16,7
70,15,6
71,14,9
72,13,9
73,12,13
74,11,17
75,10,11
76,9,18
77,8,24
78,7,34
79,6,53
80,5,57
81,4,136
82,3,245
83,2,542
84,1,1909
