,S,N
0,1396,1
1,1392,3
2,1390,5
3,1389,1
4,1388,3
5,1387,5
6,1386,3
7,1385,1
8,1384,6
9,1383,3
10,1382,4
11,1381,8
12,1380,6
13,1378,3
14,1377,13
15,1376,17
16,1375,6
17,1374,2
18,1373,1
19,1372,9
20,1371,18
21,1370,8
22,1366,10
23,1365,21
24,1364,13
25,1363,13
26,1362,24
27,1361,13
28,1360,16
29,1359,15
30,1358,19
31,1357,12
32,1356,10
33,1355,20
34,1354,10
35,1353,9
36,1352,10
37,1351,12
38,1350,4
39,1349,4
40,1348,3
41,1347,11
42,1346,2
43,1344,2
44,1343,4
45,1342,21
46,1341,1
47,1340,4
48,1339,8
49,1338,5
50,1337,1
51,1336,4
52,1335,29
53,1334,26
54,1333,9
55,1332,14
56,1331,10
57,1330,9
58,1329,11
59,1328,18
60,1327,25
61,1326,3
62,1325,1
63,1323,20
64,1322,18
65,1321,1
66,1320,6
67,1319,16
68,1318,15
69,1317,14
70,1316,8
71,1315,14
72,1314,2
73,1313,7
74,1312,7
75,1311,11
76,1310,8
77,1309,18
78,1308,19
79,1307,6
80,1306,1
81,1305,1
82,1303,1
83,1302,7
84,1301,1
85,1300,7
86,1299,3
87,1298,1
88,1297,23
89,1296,1
90,1295,1
91,1294,5
92,1293,11
93,1292,1
94,1291,8
95,1290,17
96,1289,9
97,1288,10
98,1285,2
99,1284,11
100,1283,3
101,1282,21
102,1281,2
103,1280,12
104,1279,1
105,1278,5
106,1277,7
107,1275,3
108,1274,12
109,1270,4
110,1268,2
111,1267,3
112,1266,6
113,1264,13
114,1263,3
115,1262,1
116,1261,5
117,1260,14
118,1259,3
119,1257,15
120,1256,3
121,1255,1
122,1254,6
123,1253,14
124,1252,6
125,1251,11
126,1250,4
127,1249,11
128,1248,15
129,1247,9
130,1246,7
131,1245,6
132,1244,1
133,1243,10
134,1242,12
135,1241,6
136,1240,1
137,1239,4
138,1238,7
139,1237,8
140,1236,19
141,1234,5
142,1233,14
143,1232,13
144,1231,4
145,1230,11
146,1229,15
147,1228,16
148,1227,31
149,1226,2
150,1225,17
151,1224,15
152,1223,1
153,1222,1
154,1221,1
155,1220,3
156,1219,3
157,1218,8
158,1217,8
159,1216,13
160,1215,17
161,1214,6
162,1213,2
163,1212,13
164,1211,2
165,1210,19
166,1207,2
167,1206,16
168,1205,9
169,1204,7
170,1203,1
171,1201,1
172,1199,2
173,1198,9
174,1197,2
175,1196,17
176,1195,27
177,1194,18
178,1193,22
179,1192,16
180,1191,17
181,1190,11
182,1189,12
183,1188,1
184,1187,5
185,1186,15
186,1185,4
187,1184,10
188,1183,16
189,1182,12
190,1181,15
191,1180,2
192,1179,20
193,1178,21
194,1177,26
195,1176,6
196,1175,27
197,1174,22
198,1173,20
199,1172,6
200,1171,1
201,1170,11
202,1169,21
203,1168,8
204,1167,15
205,1166,4
206,1165,14
207,1164,19
208,1163,3
209,1162,6
210,1161,5
211,1160,10
212,1159,9
213,1158,14
214,1157,2
215,1156,8
216,1155,18
217,1154,24
218,1153,20
219,1152,1
220,1151,11
221,1150,9
222,1149,4
223,1148,4
224,1147,3
225,1146,1
226,1145,17
227,1144,4
228,1143,25
229,1142,8
230,1141,29
231,1140,4
232,1139,6
233,1138,7
234,1137,17
235,1136,13
236,1134,2
237,1133,8
238,1132,8
239,1131,4
240,1130,5
241,1129,15
242,1128,12
243,1127,8
244,1126,8
245,1125,6
246,1124,8
247,1123,6
248,1122,4
249,1121,11
250,1120,7
251,1119,9
252,1118,4
253,1117,5
254,1116,3
255,1115,4
256,1114,19
257,1112,1
258,1110,2
259,1109,3
260,1108,2
261,1106,3
262,1105,6
263,1104,1
264,1103,4
265,1102,8
266,1101,10
267,1100,3
268,1099,16
269,1098,11
270,1097,5
271,1096,11
272,1095,10
273,1094,5
274,1093,12
275,1092,4
276,1091,2
277,1090,12
278,1089,17
279,1088,6
280,1087,12
281,1086,7
282,1085,4
283,1084,2
284,1083,9
285,1082,14
286,1081,6
287,1080,3
288,1079,11
289,1078,14
290,1077,6
291,1076,10
292,1075,21
293,1074,8
294,1073,18
295,1072,13
296,1070,1
297,1069,1
298,1068,8
299,1067,11
300,1066,12
301,1065,9
302,1064,17
303,1063,10
304,1062,5
305,1061,20
306,1060,3
307,1059,3
308,1058,27
309,1057,28
310,1056,3
311,1055,14
312,1054,8
313,1053,26
314,1052,18
315,1051,18
316,1050,22
317,1049,23
318,1048,15
319,1047,5
320,1046,1
321,1044,5
322,1043,3
323,1042,4
324,1041,6
325,1040,11
326,1039,4
327,1038,6
328,1037,11
329,1036,8
330,1035,11
331,1034,17
332,1033,4
333,1032,17
334,1031,4
335,1030,3
336,1029,8
337,1028,2
338,1027,10
339,1026,8
340,1025,1
341,1024,9
342,1023,2
343,1021,16
344,1020,26
345,1019,28
346,1018,16
347,1017,16
348,1016,30
349,1015,9
350,1014,15
351,1013,9
352,1012,17
353,1011,7
354,1010,8
355,1009,24
356,1008,22
357,1007,19
358,1006,4
359,1005,11
360,1004,21
361,1003,5
362,1002,7
363,1001,4
364,1000,22
365,999,2
366,998,2
367,997,2
368,996,4
369,995,17
370,994,1
371,993,17
372,992,7
373,991,3
374,990,3
375,989,4
376,988,32
377,987,3
378,986,2
379,985,18
380,984,15
381,983,6
382,981,2
383,980,26
384,979,15
385,978,10
386,977,8
387,976,2
388,975,21
389,974,3
390,973,2
391,972,1
392,971,2
393,970,4
394,969,9
395,968,17
396,967,11
397,966,7
398,965,10
399,964,4
400,963,7
401,962,19
402,961,14
403,960,3
404,959,4
405,958,9
406,957,21
407,956,16
408,955,4
409,954,6
410,953,7
411,952,8
412,951,11
413,950,11
414,949,27
415,948,9
416,947,11
417,946,14
418,945,9
419,944,3
420,943,4
421,942,16
422,941,19
423,940,4
424,939,13
425,938,3
426,937,14
427,936,2
428,935,1
429,933,8
430,932,1
431,931,7
432,930,12
433,929,6
434,928,5
435,927,7
436,926,2
437,925,1
438,924,6
439,923,5
440,922,2
441,921,2
442,920,12
443,919,5
444,918,16
445,917,2
446,916,9
447,915,4
448,914,4
449,913,3
450,912,5
451,911,8
452,910,2
453,909,11
454,908,26
455,906,3
456,905,8
457,904,3
458,903,14
459,902,2
460,901,3
461,900,11
462,899,8
463,898,8
464,897,1
465,896,4
466,895,1
467,894,5
468,893,4
469,891,2
470,889,2
471,888,1
472,887,2
473,886,10
474,885,1
475,884,2
476,883,19
477,882,3
478,881,22
479,880,27
480,879,24
481,878,10
482,877,17
483,876,6
484,875,8
485,874,6
486,873,9
487,871,14
488,870,3
489,869,10
490,868,3
491,867,9
492,866,11
493,865,5
494,864,2
495,863,10
496,862,4
497,861,5
498,860,11
499,859,21
500,858,2
501,857,8
502,856,17
503,855,21
504,854,14
505,853,18
506,852,12
507,851,8
508,850,1
509,849,7
510,848,12
511,847,2
512,846,6
513,845,20
514,844,24
515,843,8
516,842,3
517,841,10
518,840,15
519,839,7
520,838,5
521,837,5
522,836,13
523,835,10
524,834,3
525,833,16
526,832,21
527,831,4
528,830,1
529,829,4
530,828,3
531,827,2
532,825,7
533,824,7
534,823,11
535,822,2
536,821,1
537,820,6
538,819,4
539,818,12
540,817,7
541,816,25
542,815,23
543,814,8
544,813,6
545,812,18
546,811,10
547,810,6
548,809,7
549,808,16
550,807,12
551,806,8
552,804,28
553,803,16
554,802,9
555,801,1
556,800,3
557,799,2
558,798,10
559,797,7
560,796,6
561,795,23
562,794,13
563,793,2
564,792,6
565,791,14
566,790,6
567,789,6
568,788,4
569,787,23
570,786,2
571,785,1
572,784,11
573,783,10
574,782,10
575,781,29
576,780,3
577,779,4
578,778,32
579,777,4
580,776,1
581,775,17
582,774,28
583,773,8
584,772,16
585,771,29
586,770,3
587,769,4
588,768,1
589,767,12
590,766,4
591,764,13
592,763,11
593,762,3
594,761,24
595,760,6
596,759,14
597,758,14
598,757,19
599,755,7
600,754,10
601,753,6
602,752,12
603,751,25
604,750,3
605,749,14
606,748,2
607,747,1
608,746,11
609,745,12
610,744,10
611,743,10
612,742,6
613,741,9
614,740,17
615,739,1
616,738,9
617,737,7
618,736,13
619,735,14
620,734,17
621,733,19
622,732,5
623,731,4
624,730,9
625,729,19
626,728,15
627,727,10
628,726,2
629,725,7
630,724,3
631,723,6
632,722,8
633,721,13
634,720,1
635,719,12
636,718,28
637,717,26
638,716,5
639,715,5
640,714,2
641,713,15
642,712,1
643,711,6
644,710,11
645,709,8
646,708,13
647,707,12
648,706,18
649,705,5
650,704,11
651,703,13
652,702,10
653,701,15
654,700,19
655,699,7
656,698,9
657,697,2
658,696,15
659,695,7
660,694,5
661,693,14
662,692,11
663,691,10
664,690,8
665,689,30
666,688,16
667,687,4
668,686,13
669,685,14
670,684,15
671,683,6
672,682,1
673,681,22
674,680,27
675,679,15
676,678,14
677,677,22
678,676,12
679,675,14
680,674,17
681,673,1
682,672,10
683,671,26
684,670,17
685,669,8
686,668,12
687,667,6
688,665,22
689,664,17
690,663,9
691,662,17
692,661,10
693,660,14
694,659,8
695,658,3
696,657,6
697,656,5
698,655,12
699,654,26
700,653,25
701,652,2
702,651,4
703,650,15
704,649,13
705,648,6
706,647,3
707,646,18
708,645,15
709,644,15
710,643,12
711,642,2
712,641,18
713,640,6
714,639,9
715,638,6
716,637,8
717,636,5
718,635,9
719,634,6
720,633,1
721,632,18
722,631,3
723,630,12
724,628,5
725,627,5
726,626,10
727,625,11
728,624,7
729,623,1
730,622,1
731,621,5
732,620,18
733,619,10
734,618,19
735,617,3
736,616,10
737,615,4
738,614,16
739,613,1
740,611,13
741,609,1
742,608,5
743,606,10
744,604,4
745,603,17
746,602,10
747,601,1
748,597,1
749,596,4
750,595,5
751,594,7
752,593,10
753,592,19
754,591,6
755,590,11
756,589,12
757,588,7
758,587,16
759,586,23
760,585,7
761,584,11
762,583,18
763,582,2
764,581,16
765,580,22
766,579,15
767,578,20
768,577,24
769,576,6
770,575,4
771,574,16
772,573,16
773,572,3
774,570,6
775,569,2
776,568,20
777,567,23
778,566,29
779,565,3
780,564,3
781,563,8
782,562,25
783,561,1
784,560,19
785,559,15
786,558,13
787,557,8
788,556,17
789,555,24
790,554,23
791,553,12
792,552,12
793,551,24
794,550,19
795,549,16
796,548,12
797,547,13
798,546,21
799,545,28
800,544,23
801,543,7
802,542,11
803,541,19
804,540,18
805,539,9
806,538,12
