,S,N
0,1395,1
1,1393,6
2,1392,9
3,1390,8
4,1389,11
5,1388,12
6,1387,9
7,1386,13
8,1385,11
9,1384,12
10,1383,3
11,1382,3
12,1381,10
13,1380,18
14,1377,16
15,1376,19
16,1375,2
17,1374,3
18,1373,5
19,1372,6
20,1371,4
21,1370,8
22,1368,16
23,1367,22
24,1366,23
25,1365,14
26,1364,27
27,1363,17
28,1362,17
29,1360,5
30,1359,32
31,1358,3
32,1357,3
33,1356,12
34,1355,6
35,1354,17
36,1353,19
37,1352,19
38,1351,34
39,1350,9
40,1349,17
41,1348,14
42,1347,9
43,1346,21
44,1345,10
45,1344,24
46,1343,7
47,1341,3
48,1340,9
49,1339,24
50,1338,16
51,1337,9
52,1336,1
53,1334,16
54,1333,14
55,1331,2
56,1330,5
57,1329,4
58,1328,6
59,1327,30
60,1326,10
61,1325,1
62,1324,3
63,1323,1
64,1322,4
65,1321,7
66,1320,5
67,1319,3
68,1318,2
69,1317,11
70,1316,3
71,1315,8
72,1314,5
73,1313,21
74,1312,9
75,1311,12
76,1310,32
77,1309,24
78,1308,16
79,1307,11
80,1306,1
81,1305,1
82,1303,2
83,1302,10
84,1301,8
85,1300,16
86,1299,29
87,1296,12
88,1295,14
89,1294,3
90,1293,23
91,1292,5
92,1291,11
93,1290,12
94,1289,8
95,1288,5
96,1287,17
97,1286,8
98,1285,15
99,1284,35
100,1283,15
101,1281,9
102,1280,8
103,1279,19
104,1278,14
105,1277,21
106,1275,14
107,1274,41
108,1273,1
109,1272,1
110,1270,18
111,1269,5
112,1268,10
113,1267,29
114,1266,2
115,1265,8
116,1264,7
117,1263,12
118,1262,27
119,1261,20
120,1260,13
121,1259,4
122,1258,1
123,1257,6
124,1256,4
125,1255,7
126,1254,22
127,1253,33
128,1252,20
129,1251,17
130,1250,11
131,1249,15
132,1248,17
133,1247,12
134,1246,2
135,1245,9
136,1244,4
137,1243,7
138,1242,21
139,1241,22
140,1240,7
141,1239,8
142,1238,16
143,1237,6
144,1236,4
145,1235,1
146,1234,17
147,1233,2
148,1232,14
149,1231,28
150,1230,23
151,1229,16
152,1228,13
153,1226,1
154,1225,25
155,1224,37
156,1223,3
157,1222,18
158,1221,6
159,1220,18
160,1219,7
161,1218,24
162,1217,30
163,1216,13
164,1215,24
165,1214,9
166,1213,30
167,1212,14
168,1211,6
169,1210,1
170,1209,7
171,1208,10
172,1207,6
173,1206,15
174,1205,18
175,1204,4
176,1203,19
177,1202,15
178,1201,27
179,1200,6
180,1199,16
181,1198,4
182,1197,8
183,1195,2
184,1194,1
185,1193,4
186,1192,9
187,1191,1
188,1189,8
189,1188,19
190,1187,3
191,1186,7
192,1185,14
193,1184,7
194,1182,2
195,1181,4
196,1180,1
197,1179,3
198,1177,1
199,1176,3
200,1174,8
201,1173,28
202,1172,6
203,1171,5
204,1170,13
205,1169,12
206,1168,15
207,1167,15
208,1166,5
209,1165,1
210,1164,14
211,1163,8
212,1162,20
213,1161,26
214,1160,12
215,1159,11
216,1158,11
217,1157,21
218,1156,30
219,1155,6
220,1154,2
221,1153,7
222,1152,23
223,1151,18
224,1150,9
225,1149,2
226,1148,18
227,1147,15
228,1146,20
229,1144,2
230,1143,3
231,1142,4
232,1141,5
233,1140,3
234,1139,21
235,1138,20
236,1134,36
237,1133,28
238,1132,17
239,1131,17
240,1130,10
241,1129,31
242,1128,15
243,1127,17
244,1126,26
245,1125,16
246,1124,25
247,1123,14
248,1122,7
249,1121,26
250,1120,18
251,1119,27
252,1118,17
253,1117,8
254,1116,8
255,1115,10
256,1114,22
257,1113,4
258,1112,12
259,1111,2
260,1110,3
261,1109,17
262,1108,4
263,1106,6
264,1105,16
265,1104,7
266,1103,12
267,1102,19
268,1101,34
269,1100,15
270,1099,17
271,1098,17
272,1097,22
273,1096,4
274,1095,4
275,1094,7
276,1093,16
277,1092,13
278,1091,5
279,1090,8
280,1089,23
281,1088,19
282,1087,24
283,1086,20
284,1085,15
285,1084,1
286,1083,32
287,1082,15
288,1081,8
289,1080,7
290,1079,19
291,1078,24
292,1077,22
293,1076,17
294,1075,13
295,1074,10
296,1073,6
297,1072,20
298,1070,23
299,1069,1
300,1068,5
301,1067,6
302,1066,17
303,1065,18
304,1064,27
305,1063,9
306,1062,19
307,1061,26
308,1060,33
309,1059,5
310,1058,5
311,1057,7
312,1056,15
313,1055,25
314,1054,17
315,1053,4
316,1052,13
317,1051,1
318,1050,1
319,1049,14
320,1048,18
321,1047,14
322,1046,6
323,1045,6
324,1044,19
325,1043,11
326,1041,15
327,1040,17
328,1039,12
329,1038,15
330,1037,27
331,1036,16
332,1035,3
333,1034,8
334,1033,22
335,1032,20
336,1031,36
337,1030,9
338,1029,26
339,1028,13
340,1027,22
341,1026,9
342,1025,9
343,1024,13
344,1023,3
345,1022,4
346,1021,3
347,1019,5
348,1018,14
349,1017,12
350,1016,4
351,1015,28
352,1014,21
353,1013,31
354,1012,9
355,1011,10
356,1010,34
357,1009,2
358,1008,1
359,1007,3
360,1006,5
361,1005,21
362,1004,5
363,1003,4
364,1002,20
365,1001,27
366,1000,34
367,999,10
368,998,18
369,997,23
370,996,16
371,994,12
372,993,25
373,992,27
374,991,15
375,990,7
376,989,9
377,988,4
378,987,25
379,986,14
380,985,19
381,984,4
382,983,6
383,982,15
384,981,36
385,980,2
386,979,30
387,978,24
388,977,24
389,976,17
390,975,7
391,974,19
392,973,9
393,972,28
394,971,11
395,970,4
396,969,17
397,968,18
398,967,23
399,966,9
400,965,23
401,964,2
402,963,17
403,962,7
404,961,13
405,960,24
406,959,9
407,958,24
408,957,20
409,956,4
410,955,8
411,954,25
412,953,23
413,952,23
414,951,3
415,950,28
416,949,3
417,948,13
418,947,6
419,946,1
420,945,8
421,944,12
422,943,11
423,942,17
424,941,4
425,940,27
426,939,42
427,938,14
428,937,29
429,936,24
430,935,17
431,934,2
432,933,11
433,932,20
434,931,25
435,930,1
436,929,24
437,928,22
438,927,28
439,926,23
440,925,9
441,924,20
442,923,27
443,922,4
444,921,6
445,920,13
446,919,14
447,918,4
448,917,2
449,916,1
450,915,10
451,914,7
452,913,9
453,912,16
454,911,26
455,910,11
456,909,1
457,908,18
458,907,26
459,906,16
460,905,20
461,904,14
462,903,27
463,902,12
464,901,19
465,900,12
466,899,17
467,898,16
468,897,10
469,896,15
470,895,3
471,894,6
472,893,14
473,892,9
474,891,14
475,890,2
476,889,14
477,888,13
478,887,29
479,886,7
480,885,3
481,884,7
482,883,22
483,882,1
484,881,15
485,880,2
486,879,1
487,878,2
488,877,7
489,876,37
490,875,2
491,874,11
492,873,18
493,872,5
494,871,6
495,869,5
496,868,13
497,867,6
498,866,2
499,865,1
500,862,1
501,861,9
502,860,13
503,858,9
504,857,29
505,856,6
506,855,6
507,854,1
508,852,16
509,851,4
510,850,19
511,849,5
512,848,8
513,847,19
514,846,26
515,845,5
516,844,2
517,843,9
518,842,6
519,841,22
520,840,25
521,839,12
522,838,6
523,837,1
524,836,2
525,835,26
526,834,7
527,833,30
528,832,8
529,831,10
530,830,24
531,829,5
532,828,18
533,827,12
534,826,7
535,825,23
536,824,23
537,823,1
538,822,3
539,821,14
540,820,20
541,819,7
542,818,20
543,817,13
544,816,8
545,815,11
546,814,16
547,813,4
548,812,3
549,811,8
550,810,13
551,809,26
552,808,16
553,807,29
554,806,31
555,805,17
556,804,4
557,803,2
558,802,6
559,801,8
560,800,13
561,799,19
562,798,19
563,797,23
564,796,13
565,795,5
566,794,16
567,793,17
568,792,14
569,791,2
570,790,19
571,789,33
572,788,2
573,787,7
574,786,17
575,785,15
576,784,17
577,783,10
578,782,4
579,781,2
580,780,21
581,779,7
582,778,32
583,777,12
584,776,34
585,775,19
586,774,23
587,773,6
588,772,14
589,771,8
590,770,3
591,769,4
592,768,11
593,767,33
594,766,13
595,765,14
596,764,19
597,763,28
598,762,4
599,761,2
600,760,3
601,759,10
602,758,23
603,757,5
604,756,11
605,755,36
606,754,29
607,753,15
608,752,8
609,751,2
610,750,8
611,749,16
612,748,14
613,747,7
614,746,6
615,745,2
616,744,29
617,743,17
618,742,17
619,741,28
620,740,15
621,739,8
622,738,7
623,737,9
624,735,9
625,734,11
626,733,3
627,732,24
628,731,15
629,730,17
630,729,15
631,728,4
632,727,25
633,726,12
634,725,6
635,723,2
636,722,15
637,721,14
638,720,10
639,719,21
640,718,11
641,717,6
642,716,13
643,715,10
644,714,8
645,713,4
646,712,6
647,711,6
648,710,22
649,709,4
650,708,30
651,707,20
652,706,9
653,705,21
654,704,17
655,703,20
656,702,14
657,701,24
658,700,23
659,699,17
660,698,17
661,697,13
662,696,6
663,695,7
664,694,3
665,692,23
666,691,5
667,690,24
668,689,16
669,688,24
670,687,15
