,S,N
0,1395,1
1,1393,9
2,1392,14
3,1391,1
4,1390,8
5,1389,10
6,1388,5
7,1387,6
8,1386,10
9,1385,15
10,1384,23
11,1383,6
12,1382,11
13,1381,8
14,1380,9
15,1377,20
16,1376,27
17,1375,2
18,1373,4
19,1372,4
20,1371,1
21,1370,23
22,1368,12
23,1367,18
24,1366,22
25,1365,16
26,1364,17
27,1363,19
28,1362,7
29,1360,18
30,1359,30
31,1358,7
32,1356,17
33,1355,21
34,1354,21
35,1353,21
36,1352,14
37,1351,38
38,1350,25
39,1349,29
40,1348,14
41,1347,17
42,1346,25
43,1345,10
44,1344,29
45,1343,7
46,1341,2
47,1340,12
48,1339,24
49,1338,15
50,1337,11
51,1336,2
52,1334,18
53,1333,22
54,1332,4
55,1331,10
56,1330,7
57,1329,4
58,1328,16
59,1327,3
60,1326,6
61,1325,6
62,1324,1
63,1322,11
64,1321,9
65,1320,5
66,1319,5
67,1318,3
68,1317,6
69,1316,3
70,1315,23
71,1314,11
72,1313,18
73,1312,16
74,1311,16
75,1310,35
76,1309,33
77,1308,21
78,1307,19
79,1305,1
80,1303,5
81,1302,24
82,1301,16
83,1300,23
84,1299,29
85,1298,4
86,1297,9
87,1296,6
88,1295,8
89,1294,1
90,1293,26
91,1292,5
92,1291,15
93,1290,6
94,1289,8
95,1288,5
96,1287,9
97,1286,6
98,1285,9
99,1284,39
100,1283,11
101,1281,17
102,1280,13
103,1279,26
104,1278,11
105,1277,21
106,1275,12
107,1274,36
108,1273,2
109,1272,1
110,1270,9
111,1269,13
112,1268,13
113,1267,36
114,1266,1
115,1265,6
116,1264,12
117,1263,21
118,1262,10
119,1261,16
120,1260,5
121,1259,9
122,1257,13
123,1256,3
124,1255,11
125,1254,28
126,1253,11
127,1252,11
128,1251,15
129,1250,13
130,1249,8
131,1248,7
132,1247,8
133,1246,11
134,1245,10
135,1244,5
136,1243,24
137,1242,21
138,1241,27
139,1240,19
140,1239,6
141,1238,13
142,1237,8
143,1236,4
144,1234,26
145,1233,3
146,1232,15
147,1231,20
148,1230,17
149,1229,24
150,1228,24
151,1226,1
152,1225,29
153,1224,30
154,1223,7
155,1222,15
156,1221,3
157,1220,19
158,1219,17
159,1218,25
160,1217,18
161,1216,10
162,1215,26
163,1214,9
164,1213,16
165,1212,28
166,1211,15
167,1210,13
168,1209,11
169,1208,11
170,1207,11
171,1206,10
172,1205,14
173,1204,7
174,1203,8
175,1202,18
176,1201,20
177,1199,30
178,1198,25
179,1197,18
180,1196,2
181,1195,2
182,1194,4
183,1193,13
184,1192,9
185,1191,4
186,1189,14
187,1188,10
188,1187,1
189,1186,11
190,1185,10
191,1184,8
192,1182,1
193,1181,5
194,1180,8
195,1179,2
196,1177,3
197,1176,3
198,1175,1
199,1174,12
200,1173,26
201,1172,3
202,1171,10
203,1170,21
204,1169,20
205,1168,20
206,1167,33
207,1166,9
208,1165,5
209,1164,19
210,1163,11
211,1162,8
212,1161,21
213,1160,24
214,1159,17
215,1158,15
216,1157,10
217,1156,28
218,1155,16
219,1154,9
220,1153,9
221,1152,15
222,1151,34
223,1150,28
224,1149,7
225,1148,4
226,1147,12
227,1146,15
228,1144,1
229,1143,14
230,1142,5
231,1141,7
232,1140,8
233,1139,20
234,1138,21
235,1137,2
236,1136,1
237,1134,24
238,1133,31
239,1132,20
240,1131,20
241,1130,12
242,1129,23
243,1128,17
244,1127,20
245,1126,30
246,1125,9
247,1124,27
248,1123,18
249,1122,7
250,1121,23
251,1120,26
252,1119,27
253,1118,23
254,1117,6
255,1116,14
256,1115,8
257,1114,19
258,1113,7
259,1112,13
260,1111,3
261,1110,9
262,1109,13
263,1108,2
264,1107,2
265,1106,6
266,1105,11
267,1104,6
268,1103,14
269,1102,15
270,1101,22
271,1100,12
272,1099,18
273,1098,19
274,1097,17
275,1096,10
276,1095,9
277,1094,6
278,1093,6
279,1092,6
280,1091,10
281,1090,14
282,1089,14
283,1088,11
284,1087,8
285,1086,9
286,1085,8
287,1084,3
288,1083,16
289,1082,18
290,1081,6
291,1080,2
292,1079,22
293,1078,28
294,1077,22
295,1076,25
296,1075,14
297,1074,12
298,1073,8
299,1072,11
300,1070,18
301,1069,2
302,1068,7
303,1067,4
304,1066,11
305,1065,12
306,1064,36
307,1063,11
308,1062,18
309,1061,13
310,1060,21
311,1059,2
312,1058,9
313,1057,16
314,1056,24
315,1055,21
316,1054,21
317,1053,9
318,1052,27
319,1051,7
320,1049,17
321,1048,18
322,1047,9
323,1046,2
324,1045,6
325,1044,8
326,1043,14
327,1042,4
328,1041,18
329,1040,22
330,1039,14
331,1038,9
332,1037,28
333,1036,17
334,1035,15
335,1034,13
336,1033,22
337,1032,32
338,1031,32
339,1030,13
340,1029,28
341,1028,7
342,1027,17
343,1026,11
344,1025,24
345,1024,16
346,1023,7
347,1022,7
348,1021,2
349,1019,11
350,1018,20
351,1017,21
352,1016,6
353,1015,25
354,1014,24
355,1013,33
356,1012,24
357,1011,18
358,1010,35
359,1009,1
360,1007,5
361,1006,5
362,1005,23
363,1004,5
364,1003,8
365,1002,13
366,1001,16
367,1000,33
368,999,12
369,998,17
370,997,24
371,996,23
372,995,1
373,994,10
374,993,19
375,992,35
376,991,13
377,990,5
378,989,14
379,988,2
380,987,23
381,986,8
382,985,25
383,984,9
384,983,13
385,982,5
386,981,23
387,980,2
388,979,30
389,978,23
390,977,22
391,976,20
392,975,11
393,974,27
394,973,14
395,972,16
396,971,11
397,970,7
398,969,24
399,968,21
400,967,12
401,966,23
402,965,20
403,964,3
404,963,18
405,962,7
406,961,24
407,960,29
408,959,6
409,958,18
410,957,24
411,956,8
412,955,9
413,954,21
414,953,25
415,952,29
416,951,7
417,950,24
418,949,2
419,948,18
420,947,1
421,946,2
422,945,18
423,944,11
424,943,16
425,942,31
426,941,5
427,940,17
428,939,43
429,938,27
430,937,29
431,936,13
432,935,18
433,934,3
434,933,17
435,932,18
436,931,26
437,930,1
438,929,22
439,928,24
440,927,17
441,926,24
442,925,11
443,924,22
444,923,35
445,922,2
446,921,2
447,920,20
448,919,17
449,918,8
450,917,3
451,916,9
452,915,5
453,914,7
454,913,10
455,912,12
456,911,35
457,910,15
458,909,10
459,908,24
460,907,29
461,906,11
462,905,21
463,904,10
464,903,33
465,902,20
466,901,24
467,900,14
468,899,15
469,898,14
470,897,9
471,896,8
472,895,3
473,894,8
474,893,19
475,892,19
476,891,22
477,890,1
478,889,5
479,888,7
480,887,15
481,886,16
482,885,14
483,884,18
484,883,26
485,882,3
486,881,21
487,880,1
488,879,4
489,878,3
490,877,11
491,876,23
492,875,1
493,874,5
494,873,24
495,872,9
496,871,13
497,870,1
498,869,17
499,868,16
500,867,9
501,866,4
502,863,1
503,861,12
504,860,9
505,859,1
506,858,9
507,857,32
508,856,16
509,855,15
510,854,5
511,853,6
512,852,35
513,851,4
514,850,4
515,849,6
516,848,20
517,847,25
518,846,28
519,845,16
520,844,4
521,843,24
522,842,3
523,841,18
524,840,25
525,839,22
526,838,8
527,837,3
528,836,4
529,835,28
530,834,13
531,833,25
532,832,4
533,831,21
534,830,24
535,829,6
536,828,7
537,827,19
538,826,2
539,825,21
540,824,20
541,823,7
542,822,9
543,821,10
544,820,20
545,819,10
546,818,19
547,817,8
548,816,4
549,815,8
550,814,17
551,813,16
552,812,15
553,811,5
554,810,14
555,809,19
556,808,27
557,807,24
558,806,20
559,805,16
560,804,8
561,803,5
562,802,9
563,801,14
564,800,14
565,799,17
566,798,7
567,797,6
568,796,14
569,795,12
570,794,23
571,793,13
572,792,11
573,791,9
574,790,25
575,789,30
576,788,5
577,787,4
578,786,17
579,785,12
580,784,23
581,783,11
582,781,5
583,780,16
584,779,12
585,778,30
586,777,15
587,776,16
588,775,23
589,774,25
590,773,12
591,772,18
592,771,14
593,770,3
594,769,2
595,768,6
596,767,29
597,766,10
598,765,17
599,764,22
600,763,30
601,762,6
602,761,4
603,760,3
604,759,19
605,758,18
606,757,1
607,756,11
608,755,27
609,754,25
610,753,16
611,752,12
612,751,5
613,750,10
614,749,22
615,748,16
616,747,9
617,746,7
618,745,3
619,744,25
620,743,25
621,742,23
622,741,30
623,740,14
624,739,12
625,738,5
626,737,17
627,736,3
628,735,27
629,734,18
630,733,3
631,732,29
632,731,9
633,730,20
634,729,27
635,728,10
636,727,29
637,726,15
638,725,7
639,724,5
640,723,11
641,722,11
642,721,13
643,720,11
644,719,11
645,718,6
646,717,5
647,716,12
648,715,14
649,714,5
650,713,5
651,712,13
652,711,7
653,710,27
654,709,11
655,708,29
656,707,24
657,706,29
658,705,21
659,704,24
660,703,16
661,702,17
662,701,16
663,700,19
664,699,18
665,698,24
666,697,8
667,696,22
668,695,10
669,694,3
670,693,3
671,692,25
672,691,17
673,690,21
674,689,19
675,688,28
676,687,11
677,686,1
678,685,27
679,684,23
680,683,4
681,682,1
682,681,28
683,680,33
684,679,21
685,678,11
686,677,14
687,676,24
688,675,18
689,674,16
690,673,7
691,672,17
692,671,22
693,670,24
694,669,26
695,668,35
696,667,22
697,666,7
698,665,10
699,664,21
700,663,9
701,662,10
702,661,14
703,660,15
704,659,26
705,658,19
706,657,17
707,656,23
708,655,14
709,654,18
710,653,16
711,652,5
712,651,31
713,650,4
714,649,8
715,648,17
716,647,26
717,646,34
718,645,13
719,644,20
720,643,27
721,642,9
722,641,18
723,640,24
724,639,21
725,638,20
726,637,17
727,636,20
728,635,12
729,634,30
730,633,2
731,632,11
732,631,2
733,630,15
734,629,7
735,628,14
736,627,20
737,626,27
738,625,25
739,624,21
740,623,24
741,622,7
742,621,24
743,620,4
744,619,19
745,618,10
746,617,14
747,616,13
748,615,17
749,614,3
750,611,31
751,610,14
752,609,1
753,608,6
754,606,25
755,604,7
756,603,26
757,602,17
758,601,2
759,599,2
760,598,1
761,597,1
762,596,35
763,595,21
764,594,20
765,593,22
766,592,12
767,591,3
768,590,17
769,589,33
770,588,18
771,587,20
772,586,4
773,585,2
774,584,10
775,583,34
776,582,6
777,581,14
778,580,1
779,579,4
780,577,1
781,576,15
782,575,8
783,574,17
784,573,6
785,572,11
786,571,8
787,570,30
788,569,19
789,568,3
790,567,1
791,565,13
792,564,27
793,563,27
794,562,16
795,561,19
796,560,8
797,559,4
798,558,9
799,557,11
800,556,26
801,555,6
802,554,7
803,553,4
804,552,13
805,551,7
806,550,6
807,549,2
808,548,9
809,547,27
810,546,12
811,545,2
812,544,3
813,543,3
814,542,13
815,541,27
816,540,21
817,539,10
818,538,22
819,537,2
820,536,10
821,535,34
822,534,2
823,533,5
824,532,15
825,531,19
826,530,2
827,529,3
828,528,9
829,527,4
830,526,13
831,525,19
832,524,7
833,523,18
834,522,26
835,521,21
836,520,6
837,519,14
838,518,14
839,517,19
840,516,17
841,515,20
842,514,27
843,513,7
844,512,3
845,511,23
846,510,27
847,509,7
848,508,27
849,507,4
850,505,2
851,504,17
852,503,14
853,502,23
854,501,16
855,500,9
856,499,2
857,498,2
858,497,25
859,496,29
860,495,19
861,494,29
862,493,22
863,492,26
864,491,30
865,490,4
866,489,11
867,488,25
868,487,9
869,485,10
870,484,13
871,483,16
872,482,1
873,480,34
874,479,13
875,478,12
876,477,8
877,476,6
878,475,25
879,474,33
880,473,21
881,472,12
882,471,34
883,470,2
884,469,6
885,468,2
886,467,8
887,466,11
888,465,3
889,464,17
890,463,2
891,462,7
892,461,11
893,460,10
894,459,21
895,458,4
896,457,1
897,456,9
898,455,4
899,453,1
900,452,24
901,451,15
902,450,13
903,449,8
904,448,2
905,447,19
906,446,5
907,445,10
908,444,25
909,443,2
910,442,37
911,441,12
912,440,6
913,439,1
914,438,15
915,437,24
916,436,8
917,435,1
918,434,28
919,433,4
920,432,3
921,431,8
922,430,25
923,429,9
924,428,20
925,427,5
926,426,6
927,425,2
928,424,7
929,423,2
930,422,22
931,421,4
932,420,22
933,419,6
934,418,17
935,417,7
936,416,25
937,415,26
938,414,24
939,413,28
940,412,24
941,411,4
942,410,13
943,409,14
944,408,1
945,407,7
946,406,3
947,405,2
948,404,7
949,403,18
950,402,3
951,401,11
952,400,27
953,399,23
954,398,14
955,397,20
956,396,4
957,395,4
958,394,8
959,393,13
960,392,27
961,391,20
962,390,2
963,389,14
964,388,4
965,387,3
966,385,1
967,384,4
968,383,15
969,382,6
970,381,18
971,380,1
972,379,11
973,378,1
974,377,5
975,376,26
976,375,3
977,374,25
978,373,3
979,372,20
980,371,5
981,370,21
982,369,4
983,368,3
984,367,30
985,365,3
986,364,11
987,363,5
988,362,13
989,361,15
990,360,25
991,359,14
992,358,25
993,357,6
994,356,16
995,355,31
996,354,5
997,353,33
998,352,6
999,351,22
1000,350,21
1001,349,8
1002,348,24
1003,347,14
1004,346,11
1005,345,28
1006,342,2
1007,341,22
1008,340,21
1009,339,16
1010,338,17
1011,337,1
1012,336,3
1013,335,27
1014,334,2
1015,333,8
1016,332,3
1017,331,3
1018,330,12
1019,329,7
1020,328,5
1021,327,3
1022,326,7
1023,325,3
1024,324,6
1025,323,6
1026,322,6
1027,321,24
1028,320,7
1029,319,3
1030,317,2
1031,316,7
1032,312,4
1033,311,16
1034,310,14
1035,309,21
1036,308,6
1037,307,3
1038,306,8
1039,305,29
1040,303,10
1041,302,32
1042,301,25
1043,300,1
1044,299,4
1045,298,10
1046,297,21
1047,296,17
1048,295,38
1049,294,10
1050,293,29
1051,292,23
1052,291,5
1053,290,18
1054,289,14
1055,288,13
1056,287,12
1057,286,3
1058,285,2
1059,284,3
1060,283,19
1061,282,14
1062,281,38
1063,280,5
1064,279,6
1065,278,24
1066,277,38
1067,276,22
1068,275,22
1069,274,14
1070,273,22
1071,272,18
1072,270,2
1073,267,36
1074,266,16
1075,265,18
1076,264,3
1077,263,4
1078,262,20
1079,261,23
1080,257,11
1081,256,3
1082,254,4
1083,253,12
1084,252,21
1085,251,18
1086,250,32
1087,249,15
1088,248,20
1089,247,6
1090,246,8
1091,244,1
1092,242,6
1093,241,8
1094,240,5
1095,239,30
1096,238,18
1097,237,7
1098,236,6
1099,235,21
1100,234,10
1101,233,11
1102,231,3
1103,229,2
1104,228,17
1105,227,2
1106,226,3
1107,225,31
1108,224,11
1109,223,7
1110,222,22
1111,221,11
1112,220,16
1113,219,20
1114,218,8
1115,217,9
1116,216,8
1117,215,13
1118,214,13
1119,213,1
1120,212,5
1121,211,5
1122,210,5
1123,209,5
1124,208,25
1125,206,8
1126,205,11
1127,204,13
1128,203,2
1129,202,3
1130,201,10
1131,200,2
1132,199,4
1133,198,8
1134,197,9
1135,196,3
1136,195,2
1137,194,5
1138,193,10
1139,192,9
1140,191,15
1141,190,16
1142,189,9
1143,188,1
1144,187,1
1145,186,10
1146,185,12
1147,183,15
1148,181,7
1149,179,14
1150,178,5
1151,177,2
1152,176,6
1153,174,6
1154,173,15
1155,172,9
1156,170,19
1157,169,32
1158,168,4
1159,166,7
1160,165,15
1161,164,23
1162,163,20
1163,162,16
1164,161,22
1165,160,13
1166,159,31
1167,158,8
1168,157,26
1169,156,12
1170,155,20
1171,154,32
1172,153,21
1173,151,10
1174,150,38
1175,149,34
1176,148,21
1177,147,1
1178,146,28
1179,145,2
1180,144,18
1181,143,2
1182,142,9
1183,141,8
1184,140,28
1185,139,14
1186,138,10
1187,137,8
1188,136,1
1189,135,31
1190,134,3
1191,133,6
1192,132,28
1193,131,18
1194,130,28
1195,129,16
1196,128,18
1197,127,14
1198,125,17
1199,124,5
1200,123,16
1201,122,3
1202,121,14
1203,119,4
1204,118,17
1205,117,16
1206,116,31
1207,114,16
1208,113,15
1209,112,1
1210,111,11
1211,110,10
1212,109,1
1213,108,29
1214,107,9
1215,106,10
1216,105,4
1217,104,3
1218,103,9
1219,102,15
1220,101,4
1221,100,6
1222,98,13
1223,97,6
1224,96,19
1225,95,1
1226,94,6
1227,93,21
1228,92,13
1229,91,24
1230,90,8
1231,89,15
1232,88,5
1233,87,6
1234,86,21
1235,85,21
1236,84,17
1237,83,16
1238,82,12
1239,81,24
1240,79,6
1241,78,1
1242,77,18
1243,76,15
1244,75,1
1245,74,2
1246,73,1
