,T,N
0,163,1
1,101,1
2,100,1
3,90,1
4,87,1
5,84,3
6,80,1
7,79,1
8,76,1
9,75,2
10,73,1
11,71,1
12,65,1
13,61,1
14,60,1
15,59,3
16,58,4
17,57,1
18,56,1
19,55,1
20,53,2
21,52,2
22,50,1
23,49,1
24,48,1
25,47,1
26,46,3
27,45,1
28,44,2
29,43,2
30,42,3
31,40,1
32,39,4
33,37,4
34,36,2
35,35,1
36,34,6
37,33,6
38,32,3
39,31,4
40,30,2
41,29,7
42,28,9
43,27,3
44,26,4
45,25,6
46,24,4
47,23,3
48,22,10
49,21,11
50,20,8
51,19,14
52,18,13
53,17,10
54,16,14
55,15,17
56,14,17
57,13,32
58,12,35
59,11,38
60,10,35
61,9,63
62,8,83
63,7,123
64,6,177
65,5,291
66,4,508
67,3,982
68,2,2719
69,1,11989
