,T,N
0,167,7
1,155,1
2,154,1
3,153,1
4,150,1
5,148,1
6,142,1
7,141,1
8,135,1
9,132,1
10,130,1
11,128,1
12,122,1
13,108,1
14,103,1
15,93,1
16,85,1
17,84,1
18,80,1
19,78,2
20,71,1
21,65,1
22,63,1
23,62,1
24,54,1
25,53,1
26,51,1
27,50,1
28,47,1
29,42,2
30,41,1
31,40,2
32,37,1
33,36,1
34,35,2
35,34,2
36,33,2
37,32,3
38,30,5
39,28,1
40,27,7
41,26,2
42,25,3
43,24,2
44,23,3
45,22,7
46,21,3
47,20,5
48,19,10
49,18,9
50,17,11
51,16,4
52,15,14
53,14,16
54,13,21
55,12,28
56,11,38
57,10,38
58,9,48
59,8,102
60,7,118
61,6,192
62,5,312
63,4,551
64,3,1183
65,2,2995
66,1,12132
