,F,N
0,204,2
1,235,4
2,87,3
3,1,18
4,225,3
5,76,3
6,349,1
7,70,2
8,5,9
9,100,3
10,106,3
11,85,3
12,407,1
13,88,3
14,765,1
15,14,9
16,233,2
17,353,2
18,1276,1
19,960,2
20,25,7
21,221,1
22,937,1
23,21,6
24,743,1
25,62,4
26,753,1
27,389,1
28,582,1
29,806,1
30,206,1
31,9,6
32,2164,1
33,958,1
34,696,1
35,441,2
36,634,1
37,2168,1
38,975,1
39,43,4
40,171,4
41,286,1
42,279,3
43,134,6
44,89,7
45,865,1
46,265,1
47,324,3
48,501,1
49,354,1
50,192,2
51,23,13
52,108,2
53,26,6
54,180,3
55,879,1
56,138,3
57,660,2
58,594,1
59,112,4
60,18,10
61,32,6
62,94,2
63,40,2
64,31,6
65,22,6
66,271,2
67,118,2
68,124,4
69,8,4
70,86,1
71,548,1
72,1293,1
73,95,1
74,90,3
75,74,3
76,15,6
77,30,3
78,52,4
79,612,1
80,361,1
81,231,1
82,520,1
83,248,2
84,6,11
85,199,2
86,178,2
87,288,3
88,41,2
89,252,1
90,602,1
91,115,5
92,29,7
93,294,1
94,65,3
95,153,3
96,127,2
97,79,2
98,672,1
99,103,4
100,351,2
101,432,3
102,214,2
103,256,2
104,39,4
105,877,1
106,327,1
107,717,2
108,60,5
109,423,1
110,198,1
111,334,1
112,281,1
113,144,1
114,396,1
115,691,1
116,425,1
117,613,1
118,461,1
119,306,1
120,266,1
121,263,1
122,24,1
123,347,1
124,275,2
125,13,9
126,12,4
127,149,1
128,177,2
129,466,1
130,195,1
131,301,2
132,477,1
133,744,1
134,155,3
135,164,2
136,185,2
137,146,3
138,101,3
139,238,1
140,245,2
141,110,3
142,414,1
143,159,1
144,71,4
145,109,3
146,2,9
147,82,3
148,34,7
149,137,4
150,17,5
151,97,2
152,107,2
153,33,3
154,379,1
155,331,1
156,150,2
157,861,1
158,7,3
159,862,2
160,234,1
161,341,1
162,3,9
163,139,3
164,635,1
165,290,1
166,165,2
167,220,3
168,257,2
169,326,2
170,237,2
171,344,1
172,551,1
173,246,1
174,274,1
175,190,2
176,161,2
177,93,3
178,455,1
179,384,1
180,133,4
181,307,1
182,209,1
183,125,3
184,191,3
185,50,4
186,59,5
187,16,6
188,943,1
189,1279,1
190,57,3
191,444,1
192,656,1
193,1185,1
194,1266,1
195,694,1
196,27,3
197,359,1
198,37,7
199,117,2
200,205,1
201,73,2
202,99,2
203,68,7
204,105,3
205,270,1
206,337,1
207,258,1
208,616,1
209,11,7
210,45,2
211,84,3
212,77,7
213,19,3
214,49,1
215,38,4
216,10,5
217,36,3
218,47,3
219,54,4
220,67,3
221,280,1
222,142,2
223,900,1
224,483,1
225,262,1
226,487,1
227,416,1
228,2534,1
229,323,4
230,856,1
231,1048,1
232,941,1
233,330,1
234,1182,1
235,1053,1
236,365,2
237,994,1
238,692,1
239,51,4
240,4,9
241,48,3
242,28,3
243,203,2
244,113,4
245,319,1
246,493,1
247,618,1
248,66,4
249,122,3
250,78,2
251,136,1
252,162,1
253,194,1
254,291,1
255,664,1
256,158,2
257,394,1
258,313,2
259,197,2
260,393,1
261,98,1
262,580,1
263,111,4
264,267,2
265,114,1
266,383,1
267,362,1
268,75,1
269,151,2
270,496,1
271,500,1
272,69,1
273,83,4
274,990,1
275,264,1
276,80,2
277,364,1
278,184,1
279,72,1
280,460,1
281,250,1
282,143,3
283,46,4
284,129,1
285,433,1
286,734,1
287,253,1
288,545,1
289,505,1
290,800,1
291,532,1
292,243,1
293,179,1
294,382,1
295,464,1
296,779,1
297,2469,1
298,222,2
299,745,1
300,311,1
301,176,4
302,20,3
303,35,4
304,123,3
305,61,2
306,398,1
307,229,1
308,53,3
309,121,2
310,156,2
311,240,3
312,145,2
313,130,2
314,126,1
315,202,2
316,92,2
317,268,1
318,64,2
319,328,2
320,131,2
321,188,1
322,226,1
323,58,1
324,166,2
325,309,2
326,55,1
327,724,1
328,304,1
329,527,1
330,169,1
331,251,1
332,373,1
333,247,2
334,809,1
335,213,1
336,283,1
337,503,1
338,449,1
339,411,1
340,152,1
341,168,3
342,63,3
343,332,1
344,385,1
345,345,1
346,846,1
347,343,1
348,401,1
349,689,1
350,135,1
351,154,1
352,934,1
353,1632,1
354,182,1
355,1044,1
356,374,2
357,418,1
358,201,1
359,1005,1
360,590,1
361,750,1
362,828,1
363,783,1
364,120,1
365,473,1
366,388,1
367,2159,1
368,504,1
369,586,1
370,260,1
371,649,1
372,1628,1
373,44,2
374,1484,1
375,1282,1
376,217,1
377,352,1
378,96,1
379,1252,1
380,896,1
381,424,1
382,601,1
383,175,1
384,392,1
385,56,2
386,218,1
387,81,1
388,355,1
389,91,1
