,SPEED,DATE,DISTANCE,AMOUNT,TIMESLICE,TIME,ID,UUID
0,53.31,20210620,28387.23,135,1,1916.87,11301,C56CB05CE8E02C6FE05307098F0AE1DA
1,53.82,20210620,19703.65,117,1,1317.94,11302,C56CB05D36B32C6FE05307098F0AE1DA
2,64.29,20210620,33678.94,92,1,1886.01,11303,C56CB05DA1192C6FE05307098F0AE1DA
3,68.04,20210620,14724.52,71,1,779.03,11304,C56CB05D5B692C6FE05307098F0AE1DA
4,68.54,20210620,7781.05,39,1,408.68,11401,C56CB05D1E182C6FE05307098F0AE1DA
5,70.75,20210620,11411.87,44,1,580.71,11402,C56CB05CED472C6FE05307098F0AE1DA
6,57.8,20210620,8010.06,21,1,498.88,11403,C56CB05D36522C6FE05307098F0AE1DA
7,59.22,20210620,12140.06,80,1,738.05,11404,C56CB05D80CD2C6FE05307098F0AE1DA
8,63.75,20210620,20275.72,55,1,1145.07,12101,C56CB05CE8DF2C6FE05307098F0AE1DA
9,65.75,20210620,23272.31,76,1,1274.18,12102,C56CB05D43362C6FE05307098F0AE1DA
10,69.14,20210620,65229.75,168,1,3396.16,12103,C56CB05D8CF72C6FE05307098F0AE1DA
11,57.1,20210620,78023.52,218,1,4919.41,12104,C56CB05CE8AE2C6FE05307098F0AE1DA
12,65.96,20210620,24991.73,55,1,1364.07,12105,C56CB05D36602C6FE05307098F0AE1DA
13,61.91,20210620,18447.03,69,1,1072.64,12106,C56CB05DA0C52C6FE05307098F0AE1DA
14,68.64,20210620,14928.86,96,1,782.98,12107,C56CB05DA6082C6FE05307098F0AE1DA
15,68.12,20210620,44786.03,117,1,2366.78,12108,C56CB05CE8932C6FE05307098F0AE1DA
16,67.54,20210620,41886.87,94,1,2232.57,12109,C56CB05D36D12C6FE05307098F0AE1DA
17,72.98,20210620,46583.1,111,1,2297.8,12110,C56CB05D679F2C6FE05307098F0AE1DA
18,73.01,20210620,46715.68,168,1,2303.38,12111,C56CB05D67C62C6FE05307098F0AE1DA
19,69.92,20210620,36819.65,167,1,1895.77,12112,C56CB05D11BE2C6FE05307098F0AE1DA
20,70.43,20210620,46085.29,210,1,2355.48,12201,C56CB05D809B2C6FE05307098F0AE1DA
21,72.39,20210620,8147.49,68,1,405.19,12202,C56CB05D435A2C6FE05307098F0AE1DA
22,70.27,20210620,33527.77,98,1,1717.63,12203,C56CB05D8C952C6FE05307098F0AE1DA
23,74.55,20210620,18700.54,53,1,903.08,12204,C56CB05D1DDA2C6FE05307098F0AE1DA
24,73.63,20210620,25805.91,68,1,1261.75,12205,C56CB05D36672C6FE05307098F0AE1DA
25,73.86,20210620,19615.99,66,1,956.07,12206,C56CB05D8D1B2C6FE05307098F0AE1DA
