,ID,FR,TO,LEN,JAM
0,11301,0,1,1004,30
1,11302,1,2,715,30
2,11303,2,3,1167,30
3,11304,3,4,751,30
4,11401,4,3,627,30
5,11402,3,2,1124,30
6,11403,2,1,840,30
7,11404,1,0,924,30
8,12101,5,6,796,30
9,12102,6,7,627,30
10,12103,7,8,1181,30
11,12104,8,9,1215,30
12,12105,9,10,477,30
13,12106,10,11,573,30
14,12107,11,12,359,30
15,12108,12,13,805,30
16,12109,13,14,936,30
17,12110,14,15,870,30
18,12111,15,0,1216,30
19,12112,0,16,717,30
20,12201,16,0,1377,30
21,12202,0,15,241,30
22,12203,15,14,1112,30
23,12204,14,13,775,30
24,12205,13,12,782,30
25,12206,12,11,627,30
26,12207,11,10,297,30
27,12208,10,9,711,30
28,12209,9,8,1308,30
29,12210,8,7,548,30
30,12211,7,6,1328,30
31,12212,6,5,888,30
32,13301,17,18,3277,30
33,13302,18,19,1657,30
34,13303,19,20,2371,30
35,13304,20,21,2375,30
36,13305,21,22,4355,30
37,13401,22,21,4348,30
38,13402,21,20,2379,30
39,13403,20,19,2366,30
40,13404,19,18,1634,30
41,13405,18,17,3443,30
42,14101,16,23,1925,30
43,14102,23,24,1843,30
44,14103,24,25,2262,30
45,14104,25,26,824,30
46,14105,26,27,1008,30
47,14106,27,28,1055,30
48,14107,28,29,796,30
49,14108,29,30,321,30
50,14201,30,29,785,30
51,14202,29,28,520,30
52,14203,28,27,956,30
53,14204,27,26,921,30
54,14205,26,25,1318,30
55,14206,25,24,1770,30
56,14207,24,23,1847,30
57,14208,23,16,2174,30
58,15101,31,32,2355,30
59,15102,32,33,786,30
60,15103,33,34,492,30
61,15104,34,35,589,30
62,15105,35,36,859,30
63,15106,36,37,890,30
64,15107,37,38,1185,30
65,15108,38,4,943,30
66,15109,4,39,3070,30
67,15110,39,40,1478,30
68,15111,40,41,1398,30
69,15112,41,42,597,30
70,15113,42,43,1534,30
71,15114,43,44,1215,30
72,15115,44,45,675,30
73,15116,45,46,1301,30
74,15201,46,45,1380,30
75,15202,45,44,1025,30
76,15203,44,43,1334,30
77,15204,43,42,1066,30
78,15205,42,41,1012,30
79,15206,41,40,1134,30
80,15207,40,39,1307,30
81,15208,39,4,3184,30
82,15209,4,38,1036,30
83,15210,38,37,575,30
84,15211,37,36,635,30
85,15212,36,35,1361,30
86,15213,35,34,140,30
87,15214,34,33,1200,30
88,15215,33,32,550,30
89,15216,32,31,2341,30
90,16301,47,48,1008,15
91,16401,48,47,1009,15
92,17101,49,50,455,20
93,17102,50,51,583,20
94,17103,51,2,1037,20
95,17104,2,52,784,20
96,17105,52,53,553,20
97,17201,53,52,542,20
98,17202,52,2,798,20
99,17203,2,51,1032,20
100,17204,51,50,571,20
101,17205,50,49,463,20
102,18301,54,55,1198,20
103,18401,55,54,1183,20
104,19301,56,57,708,20
105,19401,57,56,992,20
106,20101,58,59,875,20
107,20102,59,60,984,20
108,20103,60,61,573,20
109,20104,61,62,428,20
110,20201,62,61,398,20
111,140204,63,64,726,20
112,140205,64,65,864,20
113,140206,65,66,595,20
114,140207,66,67,594,20
115,140208,67,68,553,20
116,141301,69,70,1001,20
117,141302,70,71,543,20
118,141303,71,65,573,20
119,141304,65,72,559,20
120,141305,72,73,535,20
121,141306,73,28,771,20
122,141307,28,74,408,20
123,141401,74,28,406,20
124,141402,28,73,772,20
125,141403,73,72,532,20
126,141404,72,65,568,20
127,141405,65,71,569,20
128,141406,71,70,539,20
129,141407,70,69,1006,20
130,142301,75,76,5342,20
131,142302,76,77,3075,20
132,142401,77,76,3225,20
133,142402,76,75,5346,20
134,143301,78,79,2894,20
135,143302,79,80,2157,20
136,143401,80,79,2151,20
137,143402,79,78,2899,20
138,144301,79,76,1720,20
139,144302,76,81,1774,20
140,144303,81,82,846,20
141,144304,82,83,895,20
142,144305,83,84,653,20
143,144306,84,85,410,20
144,144307,85,86,996,20
145,144308,86,87,912,20
146,144401,87,86,748,20
147,144402,86,85,1183,20
148,144403,85,84,410,20
149,144404,84,83,641,20
150,144405,83,82,885,20
151,144406,82,81,1035,20
152,144407,81,76,1597,20
153,144408,76,79,1700,20
154,145301,88,89,354,20
155,145302,89,86,673,20
156,145303,86,90,930,20
157,145304,90,91,436,20
158,145305,91,92,563,20
159,145306,92,93,1062,20
160,145307,93,94,1159,20
161,145308,94,95,821,20
162,145309,95,96,750,20
163,145310,96,97,1154,20
164,145311,97,98,1780,20
165,145312,98,99,906,20
166,145313,99,100,658,20
167,145314,100,101,929,20
168,145315,101,102,2819,20
169,145316,102,103,743,20
170,145317,103,104,1973,20
171,145318,104,105,466,20
172,145319,105,106,702,20
173,145320,106,107,794,20
174,145321,107,108,909,20
175,145322,108,109,376,20
176,145323,109,110,1819,20
177,145324,110,111,777,20
178,145325,111,112,750,20
179,145326,112,113,1801,20
180,145327,113,114,1750,20
181,145328,114,115,679,20
182,145329,115,116,1383,20
183,145330,116,117,443,20
184,145331,117,118,792,20
185,145332,118,119,3268,20
186,145401,119,118,3291,20
187,145402,118,117,789,20
188,145403,117,116,485,20
189,145404,116,115,1331,20
190,145405,115,114,678,20
191,145406,114,113,1752,20
192,145407,113,112,1802,20
193,145408,112,111,764,20
