,ID,FR,TO,LEN,JAM
0,11301,0,1,1004,30
1,11302,1,2,715,30
2,11303,2,3,1167,30
3,11304,3,4,751,30
4,11401,4,3,627,30
5,11402,3,2,1124,30
6,11403,2,1,840,30
7,11404,1,0,924,30
8,12101,5,6,796,30
9,12102,6,7,627,30
10,12103,7,8,1181,30
11,12104,8,9,1215,30
12,12105,9,10,477,30
13,12106,10,11,573,30
14,12107,11,12,359,30
15,12108,12,13,805,30
16,12109,13,14,936,30
17,12110,14,15,870,30
18,12111,15,0,1216,30
19,12112,0,16,717,30
20,12201,16,0,1377,30
21,12202,0,15,241,30
22,12203,15,14,1112,30
23,12204,14,13,775,30
24,12205,13,12,782,30
25,12206,12,11,627,30
26,12207,11,10,297,30
27,12208,10,9,711,30
28,12209,9,8,1308,30
29,12210,8,7,548,30
30,12211,7,6,1328,30
31,12212,6,5,888,30
32,13301,17,18,3277,30
33,13302,18,19,1657,30
34,13303,19,20,2371,30
35,13304,20,21,2375,30
36,13305,21,22,4355,30
37,13401,22,21,4348,30
38,13402,21,20,2379,30
39,13403,20,19,2366,30
40,13404,19,18,1634,30
41,13405,18,17,3443,30
42,14101,16,23,1925,30
43,14102,23,24,1843,30
44,14103,24,25,2262,30
45,14104,25,26,824,30
46,14105,26,27,1008,30
47,14106,27,28,1055,30
48,14107,28,29,796,30
49,14108,29,30,321,30
50,14201,30,29,785,30
51,14202,29,28,520,30
52,14203,28,27,956,30
53,14204,27,26,921,30
54,14205,26,25,1318,30
55,14206,25,24,1770,30
56,14207,24,23,1847,30
57,14208,23,16,2174,30
58,15101,31,32,2355,30
59,15102,32,33,786,30
60,15103,33,34,492,30
61,15104,34,35,589,30
62,15105,35,36,859,30
63,15106,36,37,890,30
64,15107,37,38,1185,30
65,15108,38,4,943,30
66,15109,4,39,3070,30
67,15110,39,40,1478,30
68,15111,40,41,1398,30
69,15112,41,42,597,30
70,15113,42,43,1534,30
71,15114,43,44,1215,30
72,15115,44,45,675,30
73,15116,45,46,1301,30
74,15201,46,45,1380,30
75,15202,45,44,1025,30
76,15203,44,43,1334,30
77,15204,43,42,1066,30
78,15205,42,41,1012,30
79,15206,41,40,1134,30
80,15207,40,39,1307,30
81,15208,39,4,3184,30
82,15209,4,38,1036,30
83,15210,38,37,575,30
84,15211,37,36,635,30
85,15212,36,35,1361,30
86,15213,35,34,140,30
87,15214,34,33,1200,30
88,15215,33,32,550,30
89,15216,32,31,2341,30
90,17101,47,48,455,20
91,17102,48,49,583,20
92,17103,49,2,1037,20
93,17104,2,50,784,20
94,17105,50,51,553,20
95,17201,51,50,542,20
96,17202,50,2,798,20
97,17203,2,49,1032,20
98,17204,49,48,571,20
99,17205,48,47,463,20
100,18301,52,53,1198,20
101,18401,53,52,1183,20
102,19301,54,55,708,20
103,19401,55,54,992,20
104,20101,56,57,875,20
105,20102,57,58,984,20
106,20103,58,59,573,20
107,20104,59,60,428,20
108,20201,60,59,398,20
109,20202,59,58,565,20
110,20203,58,57,984,20
111,20204,57,56,875,20
112,21301,53,61,2189,20
113,21302,61,62,1307,20
114,21303,62,63,496,20
115,21401,63,62,560,20
116,21402,62,61,1651,20
117,21403,61,53,1830,20
118,22301,59,64,452,20
119,22302,64,65,511,20
120,22303,65,66,610,20
121,22401,66,65,604,20
122,22402,65,64,503,20
123,22403,64,59,460,20
124,23301,9,67,751,20
125,23302,67,68,472,20
126,23401,68,67,478,20
127,23402,67,9,751,20
128,24301,69,70,789,20
129,24302,70,71,843,20
130,24303,71,13,779,20
131,24304,13,72,519,20
132,24305,72,73,603,20
133,24306,73,74,841,20
134,24401,74,73,713,20
135,24402,73,72,732,20
136,24403,72,13,721,20
137,24404,13,71,570,20
138,24405,71,70,852,20
139,24406,70,69,791,20
140,25301,75,76,953,20
141,25302,76,77,1103,20
142,25303,77,70,1012,20
143,25304,70,78,1114,20
144,25305,78,79,598,20
145,25306,79,80,641,20
146,25401,80,79,645,20
147,25402,79,78,589,20
148,25403,78,70,1097,20
149,25404,70,77,1007,20
150,25405,77,76,1103,20
151,25406,76,75,942,20
152,26101,81,82,837,20
153,26102,82,83,1098,20
154,26103,83,84,1625,20
155,26104,84,85,2023,20
156,26105,85,86,920,20
157,26106,86,87,545,20
158,26107,87,88,449,20
159,26108,88,89,1451,20
160,26201,89,88,1434,20
161,26202,88,87,449,20
162,26203,87,86,540,20
163,26204,86,85,910,20
164,26205,85,84,2037,20
165,26206,84,83,1640,20
166,26207,83,82,1090,20
167,26208,82,81,847,20
168,27101,90,3,1382,20
169,27102,3,91,871,20
170,27103,91,92,490,20
171,27104,92,93,1714,20
172,27105,93,94,1421,20
173,27106,94,40,893,20
174,27201,40,94,904,20
175,27202,94,93,1436,20
176,27203,93,92,1734,20
177,27204,92,91,490,20
178,27205,91,3,862,20
179,27206,3,90,1386,20
180,28301,11,95,655,20
181,28302,95,96,868,20
182,28303,96,97,665,20
183,28304,97,98,987,20
184,28305,98,33,924,20
185,28306,33,99,1168,20
186,28401,99,33,1298,20
187,28402,33,98,934,20
188,28403,98,97,842,20
189,28404,97,96,680,20
190,28405,96,95,852,20
191,28406,95,11,658,20
192,29301,83,100,598,20
193,29302,100,93,929,20
194,29401,93,100,925,20
