,F
0,6
1,1
2,2
3,2
4,1
5,5
6,3
7,2
8,1
9,1
10,2
11,1
12,1
13,2
14,1
15,3
16,7
17,1
18,2
19,2
20,2
21,1
22,4
23,1
24,1
25,3
26,3
27,1
28,2
29,1
30,2
31,2
32,2
33,1
34,1
35,1
36,7
37,2
38,2
39,1
40,1
41,4
42,8
43,1
44,2
45,3
46,13
47,3
48,5
49,1
50,4
51,2
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,9
64,1
65,2
66,3
67,1
68,1
69,3
70,1
71,1
72,1
73,3
74,4
75,1
76,1
77,2
78,1
79,4
80,2
81,1
82,1
83,3
84,4
85,2
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,6
94,1
95,2
96,1
97,1
98,1
99,3
100,1
101,1
102,1
103,1
104,7
105,2
106,5
107,1
108,2
109,2
110,3
111,1
112,2
113,1
114,2
115,1
116,4
117,1
118,1
119,1
120,2
121,1
122,1
123,1
124,1
125,2
126,1
127,1
128,2
129,1
130,2
131,1
132,4
133,2
134,1
135,2
136,1
137,1
138,1
139,1
140,1
141,3
142,2
143,1
144,1
145,1
146,1
147,2
148,1
149,1
150,1
151,1
152,7
153,1
154,1
155,2
156,1
157,1
158,2
159,3
160,1
161,2
162,3
163,2
164,1
165,31
166,1
167,1
168,2
169,1
170,1
171,1
172,1
173,3
174,3
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,2
185,1
186,1
187,2
188,2
189,1
190,1
191,1
192,2
193,4
194,5
195,1
196,1
197,2
198,1
199,1
200,1
201,4
202,1
203,3
204,2
205,1
206,1
207,1
208,9
209,4
210,1
211,1
212,1
213,6
214,1
215,1
216,1
217,1
218,1
219,1
220,2
221,4
222,2
223,1
224,1
225,4
226,1
227,1
228,1
229,5
230,5
231,3
232,1
233,1
234,1
235,11
236,3
237,3
238,1
239,5
240,3
241,1
242,1
243,4
244,1
245,2
246,1
247,1
248,1
249,6
250,3
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,3
259,2
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,2
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,2
276,1
277,3
278,1
279,1
280,2
281,6
282,1
283,1
284,1
285,4
286,2
287,3
288,3
289,1
290,3
291,1
292,1
293,2
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,2
304,1
305,1
306,1
307,2
308,1
309,2
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,9
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,2
326,1
327,1
328,1
329,2
330,1
331,6
332,1
333,13
334,3
335,2
336,4
337,1
338,2
339,1
340,1
341,2
342,2
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,3
353,1
354,1
355,2
356,1
357,3
358,2
359,1
360,1
361,2
362,1
363,1
364,2
365,1
366,2
367,3
368,1
369,2
370,8
371,1
372,1
373,1
374,4
375,1
376,1
377,1
378,17
379,1
380,1
381,2
382,1
383,1
384,8
385,1
386,1
387,1
388,1
389,1
390,2
391,1
392,1
393,1
394,3
395,6
396,2
397,2
398,1
399,1
400,4
401,1
402,4
403,2
404,1
405,2
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,4
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,2
424,1
425,12
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,2
435,1
436,4
437,1
438,1
439,1
440,1
441,1
442,4
443,1
444,1
445,1
446,2
447,1
448,1
449,6
450,1
451,1
452,2
453,3
454,2
455,1
456,2
457,2
458,1
459,3
460,1
461,2
462,1
463,2
464,1
465,1
466,1
467,1
468,1
469,2
470,1
471,1
472,1
473,1
474,3
475,2
476,1
477,1
478,1
479,1
480,5
481,3
482,2
483,1
484,1
485,1
486,1
487,1
488,2
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,2
498,1
499,1
500,1
501,4
502,1
503,1
504,4
505,7
506,1
507,1
508,2
509,1
510,1
511,1
512,3
513,1
514,2
515,2
516,1
517,1
518,1
519,1
520,2
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,2
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,2
541,1
542,3
543,1
544,1
545,1
546,1
547,3
548,2
549,1
550,2
551,1
552,2
553,1
554,1
555,1
556,1
557,2
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,2
569,1
570,1
571,1
572,1
573,2
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,5
583,1
584,1
585,1
586,2
587,2
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,3
599,1
600,3
601,4
602,2
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,2
611,2
612,6
613,1
614,2
615,1
616,1
617,3
618,6
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,2
629,1
630,4
631,1
632,1
633,4
634,4
635,1
636,1
637,1
638,2
639,1
640,2
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,2
654,5
655,1
656,1
657,1
658,1
659,1
660,2
661,2
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,5
670,2
671,1
672,1
673,1
674,1
675,1
676,1
677,3
678,1
679,1
680,1
681,1
682,2
683,1
684,2
685,1
686,1
687,1
688,1
689,2
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,6
702,2
703,1
704,1
705,2
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,2
716,1
717,7
718,3
719,2
720,2
721,1
722,2
723,2
724,1
725,4
726,1
727,1
728,1
729,2
730,1
731,1
732,1
733,1
734,2
735,1
736,1
737,1
738,1
739,1
740,1
741,3
742,1
743,1
744,1
745,1
746,1
747,2
748,1
749,1
750,1
751,1
752,1
753,1
754,4
755,1
756,4
757,1
758,1
759,2
760,1
761,1
762,1
763,2
764,2
765,1
766,1
767,1
768,2
769,2
770,2
771,1
772,1
773,1
774,1
775,1
776,2
777,2
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,3
794,1
795,1
796,2
797,3
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,2
806,2
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,2
817,1
818,1
819,3
820,2
821,2
822,1
823,1
824,1
825,1
826,6
827,1
828,1
829,1
830,1
831,3
832,1
833,1
834,1
835,1
836,1
837,1
838,4
839,1
840,2
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,4
851,2
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,2
862,3
863,1
864,1
865,1
866,1
867,1
868,1
869,2
870,2
871,1
872,1
873,1
874,1
875,1
876,1
877,2
878,1
879,4
880,2
881,1
882,3
883,1
884,1
885,2
886,1
887,2
888,1
889,1
890,1
891,1
892,1
893,1
894,2
895,1
896,2
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,2
906,1
907,2
908,1
909,1
910,1
911,4
912,1
913,1
914,1
915,1
916,1
917,2
918,2
919,1
920,1
921,2
922,1
923,1
924,1
925,2
926,1
927,1
928,5
929,4
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,2
942,1
943,7
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,3
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,2
963,2
964,8
965,1
966,3
967,1
968,1
969,2
970,1
971,1
972,1
973,2
974,4
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,2
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,4
992,2
993,1
994,1
995,1
996,6
997,1
998,1
999,1
1000,1
1001,1
1002,2
1003,1
1004,1
1005,1
1006,2
1007,1
1008,2
1009,1
1010,1
1011,1
1012,4
1013,3
1014,1
1015,1
1016,2
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,4
1025,1
1026,4
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,3
1035,1
1036,2
1037,1
1038,2
1039,1
1040,1
1041,1
1042,2
1043,1
1044,1
1045,1
1046,1
1047,1
1048,2
1049,4
1050,2
1051,4
1052,1
1053,1
1054,4
1055,1
1056,1
1057,1
1058,1
1059,2
1060,2
1061,1
1062,5
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,2
1071,2
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,2
1081,2
1082,1
1083,1
1084,1
1085,1
1086,1
1087,2
1088,1
1089,2
1090,2
1091,1
1092,2
1093,3
1094,2
1095,3
1096,1
1097,1
1098,3
1099,2
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,2
1112,1
1113,1
1114,1
1115,1
1116,1
1117,4
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,3
1125,1
1126,1
1127,1
1128,2
1129,1
1130,2
1131,4
1132,1
1133,3
1134,1
1135,1
1136,2
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,4
1145,1
1146,3
1147,2
1148,7
1149,1
1150,7
1151,1
1152,1
1153,1
1154,1
1155,4
1156,2
1157,1
1158,2
1159,1
1160,1
1161,1
1162,5
1163,1
1164,1
1165,1
1166,2
1167,1
1168,2
1169,1
1170,1
1171,1
1172,1
1173,1
1174,2
1175,4
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,2
1183,1
1184,3
1185,3
1186,1
1187,1
1188,1
1189,1
1190,6
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,2
1203,1
