,F,T,S,E
0,33,30,2,4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_2
1,30,30,6,5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5_5
2,28,28,7,7
3,4,4,13,14_14_14_14_13
4,3,3,18,19_19_19_18
5,8,8,20,19_19_19_19_19_20
6,10,10,31,32_32_32_32_32_32_32_32_32_32_31
7,13,13,33,34_34_34_34_34_34_34_34_34_34_34_34_34_33
8,52,30,37,35_36_36_35_35_35_35_35_35_35_36_35_35_36_35_35_35_36_36_35_35_36_35_35_35_35_35_35_35
9,6,6,38,38
10,91,20,42,41_41_41_41_41_42_41_42_44_41_41_41_42_42_42_43_44_45_45_46
11,2,2,48,47_48
12,2,1,50,51_50
13,1,1,53,53
14,1,1,56,57_56
15,125,30,67,68_69_68_949_68_951_950_951_951_949_950_951_950_951_951_951_950_949_69_69_67_70_69_69_951_950_950_950_951_950_949_950_951_950_951_950_950_950_950_69
16,3,3,71,70_70_71
17,10,10,91,90_90_90_90_90_90_90_90_90_91
18,1,1,92,93_92
19,1,1,97,97
20,37,30,101,103_102_102_102_102_102_102_102_102_102_102_102_102_103_102_102_102_102_102_102_102_102_102_103_103_102_103_102
21,13,12,106,105_105_105_105_104_105_105_105_105_105_105_106
22,3,2,108,109_108
23,2,1,113,115_114_113
24,11,10,117,118_118_118_118_116_118_118_118_118_118_118_117
25,1,1,127,127
26,17,15,132,133_131_133_131_131_131_133_133_133_133_133_133_133_133_133_133_132
27,21,11,136,137_138_137_131_137_137_137_137_137_136
28,1,1,141,141
29,3,2,145,144_146_145
30,2,1,146,147
31,1,1,148,148
32,2,2,149,149
33,1,1,155,155
34,2,2,157,156_157
35,42,22,158,160_159_160_159_159_159_160_159_159_159_159_159_159_159_159_159_158
36,63,18,166,171_170_169_168_169_167_169_167_169_169_167_169_167_169_168_170_170_169_169_170_166
37,18,9,173,175_175_173_175_173_173_174
38,2,2,175,176_175
39,1,1,178,178
40,16,9,179,177_178_177_178_178_178_179
41,19,9,180,181_181_181_184_184_184_184_183_182_183_183_182_182_181_180
42,3,2,182,184_184_182
43,1,1,188,189_188
44,2,2,195,194_195
45,2,1,196,197_196
46,34,30,207,208_208_208_208_209_209_209_208_208_208_208_208_208_208_208_208_208_208_208_208_208_208_208_208_208_208_209_208_208_208
47,359,30,218,219_220_220_219_229_229_225_230_226_229_229_228_229_226_226_227_226_229_229_229_229_230_230_224_224_222_224_222_225_224_222_222_222_222_222_223_223_220_218_218_218_219_222_222_222_220_219_218_217_217_217_219_220_220_219
48,1,1,223,223
49,135,30,236,238_235_238_235_238_235_234_235_234_235_234_235_234_238_235_235_238_235_238_238_235_238_238_235
50,2,2,244,243_244
51,1,1,248,248
52,4,4,250,251_251_249_251_250
53,1,1,252,253_252
54,2,1,256,257_256
55,80,24,258,258_260_260_258_261_262_261_260_262_262_261_260_261_260_260_261_262_262_260_260_258_258_259_258_258
56,1,1,266,267_266
57,1,1,269,269
58,9,7,270,271_271_271_270_271_270
59,1,1,277,277
60,1,1,281,282_281
61,4,4,286,287_287_287_287_286
62,2,2,292,291_292
63,127,28,296,300_300_298_302_301_302_301_300_300_299_299_296_296_299_297_297_296_296_297_300_300_297_301_301_299_299_301_300_302_301_301_297_298_297_296_296_297_297_302_301_301_300_299_298_297_296_298_296
64,2,1,307,308_307
65,1,1,312,313_312
66,2,2,336,335_336
67,109,30,355,356_356_356_356_356_355_355_356_356_355_356_358_358_354_353_353_358_358_356_355_355_357_356_357_356_358_358_358_356_358_356_358_357_356_353_353_354
68,5,4,357,358_358_357
69,1,1,362,362
70,1,1,383,384_383
71,1,1,387,388_387
72,5,4,392,393_393_393_393_392
73,2,1,405,406_405
74,6,5,414,413_413_413_413_414
75,2,2,425,424_425
76,5,3,426,426_428_427_426
77,1,1,433,434_433
78,3,2,436,437_435_436
79,1,1,441,441
80,32,16,444,443_443_443_443_443_443_445_443_443_443_443_445_445_443_443_445_443_444_445
81,9,7,452,452_452_452_452_452_453
82,16,10,466,465_464_465_465_466_465
83,2,2,477,478_478_477
84,1,1,483,484_483
85,1,1,485,485
86,2,2,486,487_487_486
87,3,3,492,493_491_493_492
88,5,2,499,501_502_500_499
89,100,30,507,509_509_509_510_510_510_509_509_509_509_509_509_509_509_508_509_509_509_509_510_510_510_509
90,44,17,517,518_519_518_518_518_520_520_520_519_518_516_516_517
91,4,4,526,525_525_525_526
92,1,1,528,529_528
93,72,25,535,534_534_534_534_534_535_536_536_536_536_534_533_536_536_533_534
94,1,1,540,540
95,1,1,545,545
96,48,30,548,549_549_549_550_550_550_550_550_550_550_550_550_549_550_549_549_549_550_550_550_550_550_550_549_549_549_549_549_550_550
97,16,16,554,555_555_555_555_555_555_555_555_555_555_555_555_555_555_555_555_554
98,2,1,556,557_556
