,ID,N,S,T
0,599401,313,565,555
1,129101,306,707,687
2,819201,299,605,556
3,239101,286,1814,732
4,19301,263,553,480
5,667103,233,1151,740
6,227401,233,310,326
7,67401,229,415,447
8,790201,229,563,576
9,291101,226,407,321
10,317301,225,308,309
11,792301,224,1014,592
12,830101,222,476,526
13,223401,221,2632,389
14,748202,220,403,351
15,183401,217,371,389
16,220101,215,602,463
17,691201,214,297,337
18,271401,210,337,399
19,690101,209,293,303
20,403301,208,438,386
21,543401,208,404,441
22,867301,208,855,645
23,588301,207,554,426
24,270101,207,388,300
25,770401,206,265,276
26,738201,206,575,708
27,403401,206,316,323
28,583301,205,350,307
29,399101,205,2739,548
30,670201,205,439,364
31,765101,205,829,840
32,558101,204,504,329
33,748101,203,269,250
34,145322,202,1224,808
35,787301,202,318,490
36,46401,202,444,494
37,336301,201,373,406
38,305101,201,459,354
39,771301,201,283,310
40,47301,199,435,380
41,130401,199,335,455
42,86113,198,812,726
43,397301,197,506,400
44,362201,195,294,298
45,130405,195,379,363
46,54401,193,264,324
47,349201,193,472,466
48,555401,192,569,397
49,245201,192,295,310
50,23401,192,297,368
51,565301,192,1154,361
52,641104,190,309,257
53,336401,188,323,473
54,172101,188,458,430
55,588401,188,439,584
56,471401,186,523,414
57,745203,183,397,447
58,597302,182,749,654
59,244205,182,314,378
60,248405,181,632,548
61,402401,180,502,583
62,402306,180,687,525
63,749307,180,539,549
64,710201,180,644,525
65,130301,179,353,290
66,400401,178,283,312
67,238102,178,865,699
68,357101,177,239,284
69,17201,177,648,621
70,843405,177,410,587
71,158101,176,568,613
72,93301,176,290,509
73,29301,176,582,416
74,134303,175,431,384
75,325201,175,292,369
76,148301,175,8789,614
77,662401,175,526,594
78,781201,174,252,291
79,28301,174,621,613
80,348101,173,413,400
81,247306,173,860,475
82,852101,172,525,479
83,397303,171,889,565
84,317302,171,351,453
85,160101,171,846,840
86,51101,171,308,258
87,265101,171,356,330
88,393302,171,572,338
89,750101,170,295,344
90,23301,170,464,338
91,722201,170,201,248
92,484201,169,343,362
93,483101,169,585,757
94,792304,168,375,356
95,349101,168,338,368
96,541401,168,1174,708
97,289201,167,216,214
98,383301,167,604,527
99,485201,167,221,255
100,746302,166,423,425
101,838201,166,403,379
102,33401,166,514,409
103,277301,166,332,312
104,536401,165,223,246
105,552101,165,1097,977
106,220201,164,394,413
107,242101,163,321,209
108,42201,163,298,328
109,785201,163,282,377
110,276302,163,517,439
111,301101,162,198,246
112,611103,162,343,431
113,447301,161,743,353
114,233301,160,1324,598
115,78201,159,352,548
116,279101,159,574,721
117,41202,159,222,252
118,397407,158,302,356
119,738203,158,776,502
120,393402,158,630,786
121,746403,157,856,552
122,292201,157,239,252
123,696301,157,312,364
124,356201,156,221,234
125,613202,156,242,248
126,761301,156,216,261
127,869201,155,257,283
128,132105,155,711,462
129,544401,155,539,546
130,359101,153,519,505
131,364201,153,200,199
132,221205,153,535,442
133,637401,153,203,267
134,613103,153,1432,1020
135,103101,153,1010,448
136,243201,153,481,395
137,869101,152,208,262
138,67301,152,430,698
139,150201,152,251,597
140,307401,151,196,212
141,150101,151,219,350
142,387302,150,1062,484
143,583401,150,196,244
144,765201,150,217,256
145,476301,150,481,263
146,720101,150,367,338
147,843404,149,708,492
148,610104,149,516,309
149,237301,148,631,381
150,280401,148,180,192
151,658401,148,194,249
152,145409,148,1623,352
153,736301,148,552,445
154,484101,147,234,221
155,785101,147,288,225
156,830201,147,340,290
157,51201,146,253,227
158,130408,145,210,242
159,275202,145,594,380
160,820401,144,196,208
161,247401,144,193,175
162,792402,144,276,422
163,749406,144,239,204
164,417402,144,598,605
165,307402,144,342,488
166,46301,143,286,242
167,305203,143,315,375
168,270201,143,351,225
169,247304,143,671,581
170,344201,142,328,324
171,483201,142,826,613
172,276401,142,545,716
173,84203,142,763,629
174,318201,141,201,336
175,265201,141,230,406
176,163301,140,249,198
177,664101,140,484,880
178,504101,140,429,353
