,F,T,S,E
0,373,52,12,78_79_79_79_79_78_78_78_78_78_78_79_78_79_143_143_143_12_13_72_72_72_72_14_14_72_14_72_72_71_72_72_110_76_110_76_70_111_111_111_70_70_110_71_71_110_110_76_76_110_111_76_77_111_111_76_76_145_110_76_111_76_71_71_71_76_110_76_71_71_110_110_70_77_111_76_71_76_76_111_71_14_72_72_14_72_72_72_72_72_71_72_71_72_71_71_13_14_71_71_72_72_72_95_143_95_143_95_95_143_143_143_143_143_79_78_78_78_79_79_78_78_143_143_12_143_143_95_95_143_95_95_78_78_12_79_79_78_78_1282_78_79_69_69_69_69_69_69_70_69_69_70_78_69_69_143
1,136,56,19,18_259_259_259_259_259_259_259_259_259_259_259_259_259_18_17_259_17_259_280_280_280_280_280_280_280_280_280_280_280_280_280_280_280_280_18_18_18_18_18_18_18_18_18_18_18_18_18_258_258_258_258_258_258_258_259_61_61_61_61_61_61_61_61_61_61_259_259_259_18_259_18_61_61_61_258_18_19
2,41,38,20,1204_1204_1204_20
3,7285,151,29,387_387_312_312_30_394_396_394_412_411_411_412_412_411_389_389_389_389_389_389_389_133_389_134_134_133_133_133_310_310_309_311_310_310_310_310_43_309_310_310_308_308_43_309_310_310_44_390_399_133_133_133_133_389_44_390_133_134_134_134_134_134_456_134_453_133_133_30_333_333_333_387_387_387_411_395_386_331_331_402_384_271_268_271_271_268_403_403_384_384_402_427_426_426_331_395_331_395_332_387_1376_1376_411_411_332_387_395_403_403_384_403_403_268_268_268_271_268_271_268_269_269_402_330_271_271_269_384_271_271_324_324_331_394_331_394_331_1294_30_134_314_431_431_432_432_433_433_315_454_1297_320_329_328_329_328_329_329_329_329_328_328_329_328_328_329_329_329_329_327_328_454_454_317_317_320_320_317_317_319_317_329_387_30_387_387_387_332_387_387_395_395_385_384_330_271_268_271_271_268_438_403_403_402_385_326_325_424_327_426_425_425_329_328_328_327_327_262_271_384_427_326_395_396_396_395_387_387_324_394_394_331_394_331_402_385_271_271_271_402_424_325_426_428_396_396_425_385_333_333_333_333_333_333_1376_1376_411_411_134_456_459_406_407_406_404_404_405_406_453_453_454_436_390_390_44_390_398_399_398_398_399_134_456_456_134_134_324_331_434_385_323_324_402_402_268_271_268_270_269_262_271_396_434_402_402_328_329_328_329_328_327_328_328_328_328_329_329_329_328_327_330_324_402_402_394_394_331_331_396_396_394_396_324_324_323_323_321_323_323_323_323_323_323_321_323_323_324_330_324_323_323_323_324_1294_434_396_396_380_39_39_39_40_4_4_4_39_4_4_4_4_4_4_39_41_41_41_41_41_41_41_40_39_380_305_282_263_304_304_304_304_263_304_263_304_263_304_263_304_304_263_304_380_282_263_380_264_397_306_305_263_305_380_263_305_305_305_306_305_304_305_305_264_390_390_390_390_390_390_390_390_304_390_44_305_263_380_380_380_380_380_42_308_311_310_43_43_310_310_43_309_43_309_310_311_310_43_310_309_43_310_380_41_376_443_443_376_376_127_127_85_84_127_127_85_443_127_376_443_380_380_380_380_380_380_380_380_380_380_263_380_380_380_380_380_380_310_310_43_380_134_390_46_46_46_390_45_436_436_436_1297_319_1377_1377_1297_1377_1297_454_320_320_454_328_328_328_328_329_329_320_454_454_319_433_341_316_316_331_411_29_312_314_396_314_436_316_316_345_345_345_433_345_432_431_430_430_431_345_345_345_432_345_316_89_453_435_405_404_404_406_405_406_406_407_407_388_407_408_388_454_1297_454_454_320_318_320_320_454_1297_1297_454_329_329_320_329_329_30_435_436_345_432_433_453_453_406_404_404_406_404_404_406_404_405_406_407_407_408_408_453_454_316_341_454_341_316_433_454_454_454_436_436_313_454_454_316_316_314_433_433_315_314_316_432_432_433_432_436_436_398_398_398_398_399_132_398_399_399_456_456_396_387_30_456_134_134_454_316_454_314_316_313_314_312_134_388_134_30_314_30_312_312_30_312_314_30_312_134_314_313_315_433_316_315_436_315_314_312_134_312_30_1294_332_332_387_30_29_30_29_387_396_395_331_332_327_30_1294_332_30_134_312_456_456_456_133_398_399_399_389_456_456_456_135_134_135_135_456_134_456_459_456_134_327_328_328_329_329_329_320_1297_1297_1377_1377_1297_1297_317_454_1377_1297_1297_320_454_317_317_329_329_329_319_319_1297_329_329_328_328_328_328_327_329_329_317_320_317_1297_319_320_1297_454_433_316_316_341_341_316_436_134_390_390_390_304_134_453_453_452_453_453_453_453_453_89_453_89_388_89_452_1294_394_331_324_323_322_323_323_324_271_384_403_402_385_268_268_271_268_385_385_269_268_268_384_384_402_271_271_402_424_424_402_262_271_268_384_271_330_324_424_424_424_424_428_426_428_427_428_427_424_427_429_428_428_426_426_427_425_429_428_428_426_424_425_424_269_330_424_329_425_312_134_399_390_390_390_390_44_389_45_390_310_46_45_436_436_454_454_408_408_407_406_453_452_452_453_134_333_333_28_333_333_333_333_333_333_333_333_333_333_28_411_411_427_427_426_429_428_429_428_427_426_331_324_427_425_427_428_424_424_425_426_427_426_330_402_384_384_384_271_271_269_268_403_438_438_384_403_384_402_402_402_271_268_330_402_402_387_424_425_427_427_426_426_425_426_425_424_395_394_331_324_331_402_384_271_403_384_384_401_330_330_402_402_385_395_425_326_395_396_387_331_324_328_328_329_329_327_329_329_327_329_327_411_387_387_387_30_30_30_1294_30_30_29_30_387_315_314_454_315_313_314_134_134_312_30_312_315_314_134_134_313_134_134_312_387_30_30_30_29_30_30_387_387_387_387_332_387_30_387_30_387_387_30_1294_1376_332_411_1376_411_396_396_424_328_328_327_424_426_427_427_427_427_427_427_427_427_427_427_325_325_326_325_325_325_325_325_424_326_425_424_425_426_425_424_402_271_268_271_403_384_438_438_403_384_402_396_395_396_394_331_331_395_396_395_331_331_325_396_325_394_394_331_325_387_331_396_271_268_271_261_262_262_271_271_271_271_268_269_269_270_384_324_424_426_427_427_426_424_427_426_425_328_327_327_425_424_426_426_424_327_326_384_438_403_403_384_385_424_326_327_327_326_386_396_324_326_330_402_402_385_331_385_385_403_403_384_385_384_402_402_271_271_268_269_270_268_271_268_384_402_402_271_271_271_271_268_384_384_384_384_269_402_394_394_331_331_394_324_331_395_323_394_331_387_387_396_396_387_331_395_331_331_331_384_384_385_268_324_387_387_30_327_328_328_329_320_319_317_319_317_320_329_329_319_1297_453_435_453_435_454_320_317_317_319_318_317_454_1297_319_320_320_329_1297_319_319_329_329_327_327_329_320_319_317_318_317_318_329_319_317_318_453_388_89_453_388_453_435_454_435_454_1297_319_317_320_320_319_318_319_387_387_134_315_436_332_387_1294_134_134_312_314_316_315_316_315_436_30_312_312_312_387_387_387_387_387_1294_333_333_28_28_29_30_30_1294_30_29_30_312_314_30_456_134_134_456_456_456_456_436_436_454_316_454_454_316_316_315_454_454_432_432_433_433_436_312_436_316_316_454_454_433_315_453_408_453_407_408_453_406_407_408_453_89_89_388_388_453_407_408_453_454_454_435_406_406_406_407_408_453_454_453_453_453_406_407_406_89_333_333_333_333_333_436_436_1297_1297_320_454_320_320_1297_436_436_436_436_315_315_454_317_454_1297_1297_329_328_327_329_329_327_329_328_328_329_320_317_320_454_341_341_320_407_407_453_453_407_407_407_408_453_388_453_1297_320_454_454_329_454_318_317_320_321_321_321_321_322_323_321_321_322_323_330_402_271_384_384_331_411_28_28_411_1376_412_411_394_28_28_28_28_28_134_436_436_316_316_314_134_134_314_316_433_432_320_320_320_320_435_408_408_435_454_341_314_316_316_432_344_344_344_344_432_432_433_344_344_344_432_432_433_344_344_433_344_344_433_344_432_433_344_344_433_344_433_344_430_431_431_430_430_430_432_433_432_430_431_433_432_344_344_344_344_344_344_344_433_344_344_344_344_344_344_345_433_433_316_436_395_396_396_395_424_424_326_325_321_321_322_322_322_321_321_321_323_323_323_321_321_323_323_323_322_324_324_321_323_402_268_268_424_425_424_402_384_402_424_385_403_403_384_384_271_268_402_402_402_268_271_268_268_384_330_402_270_403_384_384_384_402_402_324_324_395_395_396_395_331_396_395_331_394_394_395_395_395_434_434_396_396_396_395_396_395_395_325_329_329_327_327_327_1296_1296_329_327_425_424_424_384_384_384_400_401_401_330_384_271_268_271_384_403_403_384_400_323_401_401_330_330_330_330_402_261_262_262_271_268_271_271_324_323_402_271_271_269_384_402_325_402_384_384_384_271_330_324_424_326_427_427_426_427_427_424_425_427_426_427_427_427_427_427_426_424_425_424_326_329_327_329_327_327_327_329_1296_327_329_329_454_454_320_320_453_436_315_436_411_333_333_333_333_333_333_89_453_453_454_408_453_436_389_133_389_133_30_312_134_436_312_329_328_327_329_320_319_319_454_320_320_341_316_316_315_341_433_312_314_312_314_312_315_315_314_313_312_312_313_30_387_387_387_332_332_396_395_395_386_331_327_327_424_325_327_425_426_427_427_326_424_425_426_326_402_402_268_271_331_395_408_396_396_395_325_395_395_395_395_331_395_326_424_427_426_425_425_424_270_384_402_402_332_453_453_388_388_29_333_28_333_30_436_133_389_399_389_89_312_436_134_459_134_134_134_456_459_89_131_87_87_87_87_87_87_87_87_87_88_87_87_88_87_87_87_88_277_277_87_87_87_87_87_127_127_127_127_127_127_127_127_127_85_127_127_127_127_127_127_127_127_127_127_127_127_127_127_25_127_127_85_25_86_129_129_437_437_441_437_437_437_437_441_128_127_127_86_127_87_87_86_127_127_127_127_128_379_379_87_379_379_379_379_379_379_88_87_88_277_87_89_28_394_396_332_395_396_395_411_332_395_394_331_28_387_1294_312_134_30_30
4,72,28,48,152_152_47_152_47_47_124_2_124_124_124_47_47_47_47_47_47_47_47_47_49_47_47_47_47_48_47_124_124_124_124_124_124_124_124_124_124
5,1,1,55,55
6,1,1,58,168_58
7,148,45,62,258_53_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_52_53_52_52_52_53_258_258_258_53_53_61_62
8,21,21,63,63
9,2160,151,64,64_64_64_59_59_64_66_64_65_64_97_96_96_97_119_119_97_96_96_97_119_119_97_97_97_96_97_97_97_59_167_166_64_64_166_59_166_65_118_96_96_97_97_118_166_167_166_59_65_167_166_166_65_65_167_59_166_65_65_167_167_167_167_167_167_59_65_65_167_167_167_167_64_167_167_167_167_167_167_167_167_59_58_59_167_167_167_65_167_167_167_167_167_167_167_59_59_167_167_59_59_65_167_166_167_167_167_167_167_167_65_65_168_168_168_168_105_105_168_168_58_168_105_105_168_168_58_58_57_105_105_105_58_57_105_105_168_56_57_105_105_105_105_57_105_168_169_169_167_167_167_65_168_105_105_57_105_105_105_57_105_105_57_57_105_57_105_105_105_104_56_238_238_56_237_237_237_237_237_237_238_206_206_206_206_236_236_238_238_238_238_237_236_206_238_238_56_105_168_57_168_56_168_168_168_168_167_167_167_167_59_65_66_167_167_167_32_32_32_119_32_32_32_32_32_32_32_32_32_32_32_32_32_32_32_32_99_99_99_99_99_33_99_99_99_99_33_99_33_33_33_99_99_99_99_99_99_33_33_33_33_33_99_99_33_33_33_167_167_167_65_65_167_167_167_65_183_183_184_183_240_240_183_240_183_32_32_32_32_32_32_140_139_137_140_138_140_184_137_139_139_138_137_138_184_184_31_138_182_183_182_182_106_106_107_106_233_233_106_106_106_106_106_106_106_107_240_240_183_138_139_101_101_101_101_137_101_139_139_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_102_101_121_121_139_139_137_137_138_184_140_31_118_32_119_32_31_140_140_140_121_139_140_139_139_138_137_120_121_121_183_240_240_183_138_139_120_139_139_139_137_138_121_120_137_139_138_138_31_66_167_167_168_57_168_58_167_167_167_167_167_59_65_33_99_33_99_99_33_33_33_33_33_98_97_96_97_97_118_66_167_167_167_167_167_65_59_167_167_167_167_65_167_167_167_167_65_167_65_167_118_65_65_167_59_65_31_66_65_167_65_96_65_97_65_167_167_167_166_65_65_123_95_72_73_95_95_95_143_143_72_143_72_72_143_143_143_12_79_79_79_79_12_71_79_71_78_71_77_111_71_110_110_76_77_111_71_71_71_71_13_72_78_70_72_72_143_13_13_78_79_78_78_12_78_78_1282_79_95_143_124_114_114_114_114_114_151_114_114_114_47_47_48_48_151_151_164_114_114_114_151_114_113_114_114_114_113_124_49_124_124_124_124_49_49_49_49_49_48_48_49_124_112_124_112_72_74_73_73_73_73_73_74_11_95_95_12_143_72_143_14_14_71_14_14_72_72_72_11_95_95_143_143_72_72_144_73_12_143_95_95_12_143_72_72_74_73_73_72_13_143_71_13_72_60_60_96_11_95_95_95_95_11_95_72_123_1288_1288_117_117_33_32_118_65_167_65_65_168_168_168_169_65_167_167_167_167_167_66_66_168_56_56_168_105_105_105_105_105_104_105_104_56_168_168_168_168_57_168_168_104_105_104_168_168_168_57_168_57_168_168_57_56_57_168_168_168_58_57_168_168_59_167_167_59_64_167_64_65_65_167_65_59_59_167_65_118_167_65_59_167_167_65_65_167_167_59_59_65_65_167_65_168_66_65_66_118_97_118_65_167_166_65_97_119_97_97_119_96_119_119_119_97_97_119_118_97_119_119_66_65_64
